Structure,E_Pauli,E_elst,E_orb,E_disp,Ligand,L_type
GS,239.1804793,-207.2536393,-111.9212008,-25.59166717,BIPHEP,bidentate
GS,272.2400038,-245.2912609,-128.7484499,-27.11842366,dcype,bidentate
GS,261.4910841,-228.376818,-122.038171,-24.20343897,dppe,bidentate
GS,256.2377862,-208.7596098,-118.267978,-23.3866659,Fdppe,bidentate
GS,177.5914458,-165.4301614,-69.58631238,-15.75716366,PAd2Bu,monodentate
GS,166.6255256,-140.3367213,-75.9389137,-17.93190357,PMes3,monodentate
GS,173.5247669,-160.8628495,-67.21737696,-14.49041675,PtBu2Cy,monodentate
GS,169.5233464,-153.1973817,-69.82451009,-15.46497976,PtBu2Np,monodentate
GS,164.5417595,-151.6989963,-63.75942215,-14.44299713,PtBu3,monodentate
TS,236.4305563,-208.0608658,-84.99498296,-26.4100338,BIPHEP,bidentate
TS,247.8046544,-227.3421553,-89.23254018,-23.14095744,dcype,bidentate
TS,238.5900523,-213.2704418,-87.47248689,-21.94295195,dppe,bidentate
TS,231.8968323,-193.6671071,-87.24654188,-24.53075295,Fdppe,bidentate
TS,157.8275064,-152.4100165,-49.57861518,-17.98658753,PAd2Bu,monodentate
TS,152.8893282,-136.6549584,-52.24492789,-18.47950478,PMes3,monodentate
TS,150.1204439,-148.1172595,-46.5940666,-13.0633926,PtBu2Cy,monodentate
TS,157.5706547,-151.4656155,-49.97251231,-14.78017925,PtBu2Np,monodentate
TS,149.4271573,-147.590614,-46.52428178,-13.04982118,PtBu3,monodentate
