Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,-7.43103E-07,-2.68707E-06
0.0050354,-6.97455E-07,2.64142E-06
0.010070801,-6.51807E-07,2.81245E-06
0.015106201,-6.06178E-07,2.7241E-06
0.020141602,-5.6055E-07,2.62049E-06
0.025177002,-5.1495E-07,2.52087E-06
0.030212402,-4.6935E-07,2.43834E-06
0.035247803,-4.23788E-07,2.35219E-06
0.040283203,-3.78226E-07,2.29412E-06
0.045318604,-3.32712E-07,2.23274E-06
0.050354004,-2.87198E-07,2.16403E-06
0.055389404,-2.41741E-07,2.10423E-06
0.060424805,-1.96284E-07,2.06976E-06
0.065460205,-1.50893E-07,2.02284E-06
0.070495605,-1.05502E-07,1.97928E-06
0.075531006,-6.01864E-08,1.94068E-06
0.080566406,-1.48709E-08,1.89872E-06
0.085601807,3.03602E-08,1.8599E-06
0.090637207,7.55913E-08,1.82626E-06
0.095672607,1.20729E-07,1.79639E-06
0.100708008,1.65867E-07,1.76529E-06
0.105743408,2.10903E-07,1.73887E-06
0.110778809,2.55939E-07,1.70939E-06
0.115814209,3.00864E-07,1.68003E-06
0.120849609,3.45789E-07,1.66166E-06
0.12588501,3.90596E-07,1.63333E-06
0.13092041,4.35402E-07,1.61111E-06
0.135955811,4.80081E-07,1.59145E-06
0.140991211,5.2476E-07,1.57393E-06
0.146026611,5.69304E-07,1.54923E-06
0.151062012,6.13848E-07,1.52269E-06
0.156097412,6.58249E-07,1.5143E-06
0.161132813,7.0265E-07,1.4879E-06
0.166168213,7.469E-07,1.47692E-06
0.171203613,7.9115E-07,1.45555E-06
0.176239014,8.35242E-07,1.44228E-06
0.181274414,8.79334E-07,1.42535E-06
0.186309814,9.23261E-07,1.41713E-06
0.191345215,9.67188E-07,1.40006E-06
0.196380615,1.01094E-06,1.38011E-06
0.201416016,1.0547E-06,1.35772E-06
0.206451416,1.09827E-06,1.34802E-06
0.211486816,1.14185E-06,1.32611E-06
0.216522217,1.18524E-06,1.31232E-06
0.221557617,1.22863E-06,1.29426E-06
0.226593018,1.27183E-06,1.26968E-06
0.231628418,1.31503E-06,1.2515E-06
0.236663818,1.35803E-06,1.23719E-06
0.241699219,1.40103E-06,1.2183E-06
0.246734619,1.44382E-06,1.20724E-06
0.25177002,1.48662E-06,1.18183E-06
0.25680542,1.52921E-06,1.17007E-06
0.26184082,1.5718E-06,1.14854E-06
0.266876221,1.61417E-06,1.13637E-06
0.271911621,1.65655E-06,1.12238E-06
0.276947021,1.69871E-06,1.11074E-06
0.281982422,1.74086E-06,1.08659E-06
0.287017822,1.78279E-06,1.07457E-06
0.292053223,1.82473E-06,1.05888E-06
0.297088623,1.86643E-06,1.04128E-06
0.302124023,1.90814E-06,1.02918E-06
0.307159424,1.94961E-06,1.01731E-06
0.312194824,1.99108E-06,1.00727E-06
0.317230225,2.03232E-06,9.93806E-07
0.322265625,2.07355E-06,9.77288E-07
0.327301025,2.11455E-06,9.64367E-07
0.332336426,2.15555E-06,9.5175E-07
0.337371826,2.1963E-06,9.41513E-07
0.342407227,2.23706E-06,9.27919E-07
0.347442627,2.27757E-06,9.17622E-07
0.352478027,2.31808E-06,9.03968E-07
0.357513428,2.35834E-06,8.94835E-07
0.362548828,2.3986E-06,8.81734E-07
0.367584229,2.43861E-06,8.77429E-07
0.372619629,2.47862E-06,8.67021E-07
0.377655029,2.51838E-06,8.6358E-07
0.38269043,2.55814E-06,8.4549E-07
0.38772583,2.59764E-06,8.35895E-07
0.39276123,2.63714E-06,8.23553E-07
0.397796631,2.67639E-06,8.14215E-07
0.402832031,2.71563E-06,8.13726E-07
0.407867432,2.75462E-06,7.96406E-07
0.412902832,2.79361E-06,7.88241E-07
0.417938232,2.83234E-06,7.76369E-07
0.422973633,2.87106E-06,7.63885E-07
0.428009033,2.90953E-06,7.59597E-07
0.433044434,2.948E-06,7.44017E-07
0.438079834,2.98621E-06,7.43347E-07
0.443115234,3.02441E-06,7.25892E-07
0.448150635,3.06236E-06,7.23346E-07
