Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,5.98145E-07,-4.42505E-07
0.0050354,6.15399E-07,4.25251E-07
0.010070801,6.32653E-07,4.6598E-07
0.015106201,6.49905E-07,4.51779E-07
0.020141602,6.67158E-07,4.22319E-07
0.025177002,6.84409E-07,4.0812E-07
0.030212402,7.01661E-07,3.78967E-07
0.035247803,7.1891E-07,3.59582E-07
0.040283203,7.36159E-07,3.24938E-07
0.045318604,7.53405E-07,3.10133E-07
0.050354004,7.70651E-07,3.04483E-07
0.055389404,7.87894E-07,2.89987E-07
0.060424805,8.05137E-07,2.81594E-07
0.065460205,8.22376E-07,2.71069E-07
0.070495605,8.39615E-07,2.61764E-07
0.075531006,8.5685E-07,2.55821E-07
0.080566406,8.74085E-07,2.45605E-07
0.085601807,8.91315E-07,2.41193E-07
0.090637207,9.08545E-07,2.34949E-07
0.095672607,9.2577E-07,2.34509E-07
0.100708008,9.42994E-07,2.35594E-07
0.105743408,9.60214E-07,2.28446E-07
0.110778809,9.77433E-07,2.30758E-07
0.115814209,9.94646E-07,2.26973E-07
0.120849609,1.01186E-06,2.27154E-07
0.12588501,1.02907E-06,2.18798E-07
0.13092041,1.04627E-06,2.25395E-07
0.135955811,1.06347E-06,2.22843E-07
0.140991211,1.08067E-06,2.25479E-07
0.146026611,1.09787E-06,2.19883E-07
0.151062012,1.11506E-06,2.20695E-07
0.156097412,1.13224E-06,2.26398E-07
0.161132813,1.14943E-06,2.23861E-07
0.166168213,1.16661E-06,2.28045E-07
0.171203613,1.18379E-06,2.23379E-07
0.176239014,1.20096E-06,2.22078E-07
0.181274414,1.21813E-06,2.2627E-07
0.186309814,1.23529E-06,2.20399E-07
0.191345215,1.25245E-06,2.31313E-07
0.196380615,1.26961E-06,2.18737E-07
0.201416016,1.28676E-06,2.25081E-07
0.206451416,1.30391E-06,2.22279E-07
0.211486816,1.32105E-06,2.21918E-07
0.216522217,1.33819E-06,2.2248E-07
0.221557617,1.35533E-06,2.23654E-07
0.226593018,1.37245E-06,2.21173E-07
0.231628418,1.38958E-06,2.22049E-07
0.236663818,1.4067E-06,2.23545E-07
0.241699219,1.42382E-06,2.18631E-07
0.246734619,1.44094E-06,2.25018E-07
0.25177002,1.45805E-06,2.22859E-07
0.25680542,1.47515E-06,2.14605E-07
0.26184082,1.49226E-06,2.20695E-07
0.266876221,1.50935E-06,2.2191E-07
0.271911621,1.52645E-06,2.21599E-07
0.276947021,1.54353E-06,2.14583E-07
0.281982422,1.56062E-06,2.11534E-07
0.287017822,1.5777E-06,2.10018E-07
0.292053223,1.59478E-06,2.09419E-07
0.297088623,1.61185E-06,2.10047E-07
0.302124023,1.62892E-06,2.03352E-07
0.307159424,1.64599E-06,2.03988E-07
0.312194824,1.66305E-06,2.00963E-07
0.317230225,1.68011E-06,1.80549E-07
0.322265625,1.69716E-06,1.90653E-07
0.327301025,1.71421E-06,2.01375E-07
0.332336426,1.73126E-06,1.77917E-07
