Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,7.1106E-07,-3.11279E-07
0.0050354,7.24825E-07,2.97514E-07
0.010070801,7.38591E-07,3.14266E-07
0.015106201,7.52356E-07,2.91345E-07
0.020141602,7.66122E-07,2.77579E-07
0.025177002,7.79888E-07,2.53438E-07
0.030212402,7.93653E-07,2.25939E-07
0.035247803,8.07419E-07,2.2316E-07
0.040283203,8.21185E-07,2.08173E-07
0.045318604,8.3495E-07,1.86778E-07
0.050354004,8.48716E-07,1.70876E-07
0.055389404,8.62481E-07,1.61078E-07
0.060424805,8.76247E-07,1.38768E-07
0.065460205,8.90013E-07,1.37514E-07
0.070495605,9.03778E-07,1.3443E-07
0.075531006,9.17544E-07,1.28599E-07
0.080566406,9.3131E-07,1.00795E-07
0.085601807,9.45075E-07,1.10528E-07
0.090637207,9.58841E-07,1.07138E-07
0.095672607,9.72606E-07,1.04664E-07
0.100708008,9.86372E-07,9.7002E-08
0.105743408,1.00014E-06,8.78141E-08
0.110778809,1.0139E-06,9.419E-08
0.115814209,1.02767E-06,7.85934E-08
0.120849609,1.04143E-06,8.06969E-08
0.12588501,1.0552E-06,8.28004E-08
0.13092041,1.06897E-06,7.23918E-08
0.135955811,1.08273E-06,7.54108E-08
0.140991211,1.0965E-06,6.50021E-08
0.146026611,1.11026E-06,7.22937E-08
0.151062012,1.12403E-06,6.12746E-08
0.156097412,1.13779E-06,5.7885E-08
0.161132813,1.15156E-06,5.81575E-08
0.166168213,1.16532E-06,6.17869E-08
0.171203613,1.17909E-06,4.49696E-08
0.176239014,1.19286E-06,6.35526E-08
0.181274414,1.20662E-06,4.91766E-08
0.186309814,1.22039E-06,4.63974E-08
0.191345215,1.23415E-06,4.1787E-08
0.196380615,1.24792E-06,3.90078E-08
0.201416016,1.26168E-06,3.56182E-08
0.206451416,1.27545E-06,3.61958E-08
0.211486816,1.28922E-06,3.28062E-08
0.216522217,1.30298E-06,2.20924E-08
0.221557617,1.31675E-06,9.54747E-09
0.226593018,1.33051E-06,2.75202E-08
0.231628418,1.34428E-06,1.25339E-08
0.236663818,1.35804E-06,2.31823E-08
0.241699219,1.37181E-06,1.3384E-08
0.246734619,1.38557E-06,1.85393E-08
0.25177002,1.39934E-06,4.16338E-09
0.25680542,1.41311E-06,4.74105E-09
0.26184082,1.42687E-06,1.9662E-08
0.266876221,1.44064E-06,2.53945E-09
0.271911621,1.4544E-06,-3.59674E-09
0.276947021,1.46817E-06,3.69479E-09
0.281982422,1.48193E-06,-8.23975E-09
0.287017822,1.50124E-06,-1.10626E-08
0.292053223,1.52054E-06,-7.17163E-09
0.297088623,1.53984E-06,-8.46863E-09
