Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,5.23376E-07,-3.5553E-07
0.0050354,5.36023E-07,3.42884E-07
0.010070801,5.48669E-07,3.76014E-07
0.015106201,5.61314E-07,3.45058E-07
0.020141602,5.7396E-07,3.20205E-07
0.025177002,5.86606E-07,2.94132E-07
0.030212402,5.99251E-07,2.65312E-07
0.035247803,6.11896E-07,2.61517E-07
0.040283203,6.24541E-07,2.32393E-07
0.045318604,6.37185E-07,2.11204E-07
0.050354004,6.49829E-07,1.95508E-07
0.055389404,6.62473E-07,1.84695E-07
0.060424805,6.75116E-07,1.62897E-07
0.065460205,6.87759E-07,1.57273E-07
0.070495605,7.00401E-07,1.44936E-07
0.075531006,7.13043E-07,1.37482E-07
0.080566406,7.25684E-07,1.17516E-07
0.085601807,7.38325E-07,1.08233E-07
0.090637207,7.50965E-07,1.05968E-07
0.095672607,7.63604E-07,1.00348E-07
0.100708008,7.76244E-07,9.50333E-08
0.105743408,7.88881E-07,1.04643E-07
0.110778809,8.01519E-07,1.01587E-07
0.115814209,8.14156E-07,9.59699E-08
0.120849609,8.26792E-07,9.27328E-08
0.12588501,8.39427E-07,8.88869E-08
0.13092041,8.52062E-07,8.6872E-08
0.135955811,8.64696E-07,8.55301E-08
0.140991211,8.77329E-07,8.26013E-08
0.146026611,8.89961E-07,7.90943E-08
0.151062012,9.02593E-07,7.8456E-08
0.156097412,9.15223E-07,7.78803E-08
0.161132813,9.27853E-07,7.54432E-08
0.166168213,9.40481E-07,7.15124E-08
0.171203613,9.53109E-07,7.20066E-08
0.176239014,9.65736E-07,7.10379E-08
0.181274414,9.78362E-07,6.82075E-08
0.186309814,9.90987E-07,6.73626E-08
0.191345215,1.00361E-06,6.75249E-08
0.196380615,1.01623E-06,6.68039E-08
0.201416016,1.02886E-06,6.49539E-08
0.206451416,1.04148E-06,6.30752E-08
0.211486816,1.0541E-06,6.50722E-08
0.216522217,1.06672E-06,6.27377E-08
0.221557617,1.07934E-06,6.16849E-08
0.226593018,1.09195E-06,6.10002E-08
0.231628418,1.10457E-06,6.01629E-08
0.236663818,1.11719E-06,5.97548E-08
0.241699219,1.1298E-06,4.57359E-08
0.246734619,1.14241E-06,4.92969E-08
0.25177002,1.15503E-06,5.46891E-08
0.25680542,1.16764E-06,5.18433E-08
0.26184082,1.18025E-06,4.47251E-08
0.266876221,1.19286E-06,5.34779E-08
0.271911621,1.20547E-06,4.72771E-08
0.276947021,1.21808E-06,4.99281E-08
0.281982422,1.23068E-06,5.0443E-08
0.287017822,1.24329E-06,5.09596E-08
0.292053223,1.2559E-06,4.81193E-08
0.297088623,1.2685E-06,5.16893E-08
0.302124023,1.28111E-06,5.12921E-08
0.307159424,1.29371E-06,4.72344E-08
0.312194824,1.30631E-06,4.95855E-08
0.317230225,1.31891E-06,5.10225E-08
0.322265625,1.33151E-06,5.06286E-08
0.327301025,1.34411E-06,5.75603E-08
0.332336426,1.35671E-06,4.86229E-08
0.337371826,1.36931E-06,5.06733E-08
0.342407227,1.38191E-06,5.02822E-08
0.347442627,1.3945E-06,4.65356E-08
0.352478027,1.4071E-06,5.07235E-08
0.357513428,1.4197E-06,4.36212E-08
0.362548828,1.43229E-06,3.80447E-08
0.367584229,1.44489E-06,3.91833E-08
0.372619629,1.45748E-06,3.84908E-08
0.377655029,1.47007E-06,3.26114E-08
0.38269043,1.48267E-06,3.58872E-08
0.38772583,1.49526E-06,3.18398E-08
0.39276123,1.50785E-06,3.17596E-08
0.397796631,1.52044E-06,2.55768E-08
0.402832031,1.53304E-06,2.48871E-08
0.407867432,1.54563E-06,2.60293E-08
0.412902832,1.55822E-06,2.44248E-08
0.417938232,1.57081E-06,1.06139E-08
0.422973633,1.5834E-06,1.4198E-08
0.428009033,1.59599E-06,4.66003E-09
0.433044434,1.60858E-06,1.12964E-08
0.438079834,1.62117E-06,9.69336E-09
0.443115234,1.63376E-06,1.07129E-09
0.448150635,1.64634E-06,3.84034E-10
0.453186035,1.65893E-06,-3.35498E-09
0.458221436,1.67152E-06,-4.65247E-09
0.463256836,1.68411E-06,5.64673E-09
0.468292236,1.6967E-06,-6.33191E-09
0.473327637,1.70929E-06,-3.96729E-09
0.478363037,1.72249E-06,-9.23157E-09
0.483398438,1.73569E-06,-3.50952E-09
0.488433838,1.74889E-06,-7.5531E-09
0.493469238,1.76208E-06,-7.93457E-09
0.498504639,1.77574E-06,-5.72205E-09
0.503540039,1.7894E-06,-6.2561E-09
0.508575439,1.80305E-06,-7.40051E-09
0.51361084,1.81671E-06,-7.93457E-09
0.51864624,1.83052E-06,-5.87463E-09
0.523681641,1.84433E-06,-7.47681E-09
0.528717041,1.8586E-06,-6.79016E-09
0.533752441,1.87286E-06,-6.71387E-09
0.538787842,1.88976E-06,-1.01852E-08
0.543823242,1.90666E-06,-6.63757E-09
0.548858643,1.92356E-06,-4.61578E-09
0.553894043,1.94046E-06,-9.30786E-09
0.558929443,1.95805E-06,-8.27789E-09
0.563964844,1.97563E-06,-6.02722E-09
0.569000244,1.99322E-06,-7.43866E-09
0.574035645,2.0108E-06,-1.37329E-08
0.579071045,2.02934E-06,-4.80652E-09
0.584106445,2.04788E-06,-9.30786E-09
0.589141846,2.06711E-06,-9.91821E-09
0.594177246,2.08633E-06,-1.08337E-08
0.599212646,2.10598E-06,-8.81195E-09
0.604248047,2.12563E-06,-7.09534E-09
0.609283447,2.14527E-06,-5.6839E-09
0.614318848,2.16492E-06,-1.43433E-08
0.619354248,2.1853E-06,-6.03971E-09
0.624389648,2.20568E-06,-2.61898E-09
0.629425049,2.22605E-06,1.73311E-09
0.634460449,2.24642E-06,4.25414E-09
0.63949585,2.26676E-06,8.3247E-09
0.64453125,2.2871E-06,2.12454E-08
0.64956665,2.30742E-06,3.35871E-08
0.654602051,2.32773E-06,3.2501E-08
