Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,3.34167E-07,-4.16565E-07
0.0050354,3.50112E-07,4.00621E-07
0.010070801,3.66056E-07,4.39608E-07
0.015106201,3.82E-07,4.17561E-07
0.020141602,3.97943E-07,3.74152E-07
0.025177002,4.13885E-07,3.51191E-07
0.030212402,4.29827E-07,3.22431E-07
0.035247803,4.45767E-07,2.93979E-07
0.040283203,4.61707E-07,2.81396E-07
0.045318604,4.77645E-07,2.63017E-07
0.050354004,4.93583E-07,2.42806E-07
0.055389404,5.09518E-07,2.29923E-07
0.060424805,5.25453E-07,2.17345E-07
0.065460205,5.41385E-07,2.01413E-07
0.070495605,5.57316E-07,1.93111E-07
0.075531006,5.73244E-07,1.79624E-07
0.080566406,5.89173E-07,1.74072E-07
0.085601807,6.05097E-07,1.65777E-07
0.090637207,6.21021E-07,1.63586E-07
0.095672607,6.36941E-07,1.53465E-07
0.100708008,6.5286E-07,1.54024E-07
0.105743408,6.68775E-07,1.48485E-07
0.110778809,6.8469E-07,1.55154E-07
0.115814209,7.006E-07,1.46263E-07
0.120849609,7.1651E-07,1.46832E-07
0.12588501,7.32414E-07,1.47102E-07
0.13092041,7.48319E-07,1.47983E-07
0.135955811,7.64217E-07,1.44596E-07
0.140991211,7.80116E-07,1.5006E-07
0.146026611,7.96009E-07,1.46679E-07
0.151062012,8.11902E-07,1.53064E-07
0.156097412,8.27788E-07,1.55488E-07
0.161132813,8.43674E-07,1.58218E-07
0.166168213,8.59554E-07,1.6309E-07
0.171203613,8.75434E-07,1.60943E-07
0.176239014,8.91308E-07,1.70399E-07
0.181274414,9.07181E-07,1.61545E-07
0.186309814,9.23047E-07,1.67651E-07
0.191345215,9.38914E-07,1.73757E-07
0.196380615,9.54773E-07,1.77124E-07
0.201416016,9.70633E-07,1.7927E-07
0.206451416,9.86485E-07,1.82338E-07
0.211486816,1.00234E-06,1.84491E-07
0.216522217,1.01818E-06,1.81464E-07
0.221557617,1.03403E-06,1.86675E-07
0.226593018,1.04987E-06,1.82434E-07
0.231628418,1.0657E-06,1.87959E-07
0.236663818,1.08153E-06,1.90133E-07
0.241699219,1.09736E-06,1.84068E-07
0.246734619,1.11319E-06,1.91744E-07
0.25177002,1.12901E-06,1.94231E-07
0.25680542,1.14483E-06,1.93368E-07
0.26184082,1.16064E-06,1.92201E-07
0.266876221,1.17645E-06,1.90735E-07
0.271911621,1.19226E-06,1.93847E-07
0.276947021,1.20806E-06,1.89031E-07
0.281982422,1.22387E-06,1.9093E-07
0.287017822,1.23966E-06,1.85816E-07
0.292053223,1.25545E-06,1.89552E-07
0.297088623,1.27124E-06,1.94822E-07
0.302124023,1.28703E-06,1.91241E-07
0.307159424,1.30281E-06,1.88887E-07
0.312194824,1.31859E-06,1.80125E-07
0.317230225,1.33437E-06,1.70148E-07
0.322265625,1.35014E-06,1.736E-07
0.327301025,1.36591E-06,1.72174E-07
0.332336426,1.38168E-06,1.65256E-07
0.337371826,1.39744E-06,1.62616E-07
0.342407227,1.41321E-06,1.50516E-07
0.347442627,1.42896E-06,1.51544E-07
0.352478027,1.44472E-06,1.42195E-07
0.357513428,1.46047E-06,1.39872E-07
0.362548828,1.47622E-06,1.29919E-07
0.367584229,1.49197E-06,1.20887E-07
0.372619629,1.50771E-06,1.16432E-07
0.377655029,1.52345E-06,1.13508E-07
0.38269043,1.5392E-06,1.0326E-07
0.38772583,1.55493E-06,9.72894E-08
0.39276123,1.57067E-06,9.74218E-08
0.397796631,1.5864E-06,8.44358E-08
0.402832031,1.60213E-06,7.5112E-08
0.407867432,1.61786E-06,7.61679E-08
0.412902832,1.63359E-06,6.77633E-08
0.417938232,1.64932E-06,6.36346E-08
0.422973633,1.66504E-06,4.97403E-08
0.428009033,1.68076E-06,4.74456E-08
0.433044434,1.69649E-06,4.05733E-08
0.438079834,1.71221E-06,3.9502E-08
0.443115234,1.72793E-06,3.62944E-08
0.448150635,1.74364E-06,2.42388E-08
0.453186035,1.75936E-06,1.98127E-08
0.458221436,1.77508E-06,1.47779E-08
0.463256836,1.79079E-06,1.06587E-08
0.468292236,1.80651E-06,6.23555E-09
0.473327637,1.82222E-06,1.12729E-08
0.478363037,1.83794E-06,2.5782E-09
0.483398438,1.85365E-06,-3.06475E-09
0.488433838,1.86936E-06,4.41531E-09
0.493469238,1.88508E-06,6.03858E-10
0.498504639,1.90079E-06,-7.48005E-09
0.503540039,1.9165E-06,-7.93457E-09
0.508575439,1.9339E-06,-9.46045E-09
0.51361084,1.95129E-06,-6.40869E-09
0.51864624,1.96922E-06,-1.15204E-08
0.523681641,1.98715E-06,-7.47681E-09
0.528717041,2.00508E-06,-5.87463E-09
0.533752441,2.02301E-06,-8.54492E-09
0.538787842,2.04468E-06,-1.31226E-08
0.543823242,2.06635E-06,-7.32422E-09
0.548858643,2.08801E-06,-8.54492E-09
0.553894043,2.10968E-06,-8.8501E-09
0.558929443,2.13135E-06,-2.74658E-09
0.563964844,2.15302E-06,-1.25122E-08
0.569000244,2.17641E-06,-1.08846E-08
0.574035645,2.19981E-06,-7.12077E-09
0.579071045,2.22321E-06,-1.40381E-08
0.584106445,2.2466E-06,-6.61214E-09
0.589141846,2.27E-06,-1.35295E-08
0.594177246,2.2934E-06,-1.2207E-08
0.599212646,2.31911E-06,-1.35055E-08
0.604248047,2.34482E-06,-5.03838E-09
0.609283447,2.37052E-06,-1.70035E-08
0.614318848,2.39622E-06,-5.46999E-09
0.619354248,2.42189E-06,-4.90103E-09
0.624389648,2.44757E-06,-1.59287E-08
0.629425049,2.47322E-06,2.36952E-09
0.634460449,2.49886E-06,-7.71358E-09
0.63949585,2.52447E-06,-6.77402E-09
0.64453125,2.55008E-06,-1.25483E-08
0.64956665,2.57565E-06,1.25216E-09
0.654602051,2.60122E-06,5.5922E-09
0.659637451,2.62674E-06,1.08985E-08
0.664672852,2.65225E-06,7.96502E-09
0.669708252,2.67771E-06,3.49966E-08
0.674743652,2.70317E-06,4.15815E-08
0.679779053,2.72856E-06,4.64002E-08
0.684814453,2.75396E-06,5.67121E-08
0.689849854,2.77928E-06,6.5265E-08
0.694885254,2.8046E-06,9.88423E-08
0.699920654,2.82984E-06,1.13883E-07
0.704956055,2.85509E-06,1.28008E-07
0.709991455,2.88024E-06,1.60224E-07
0.715026855,2.9054E-06,1.89694E-07
0.720062256,2.93046E-06,2.19256E-07
0.725097656,2.95553E-06,2.61941E-07
0.730133057,2.98049E-06,3.00452E-07
0.735168457,3.00546E-06,3.63989E-07
0.740203857,3.03032E-06,4.21222E-07
0.745239258,3.05517E-06,4.89442E-07
0.750274658,3.07992E-06,5.62046E-07
0.755310059,3.10467E-06,6.42586E-07
0.760345459,3.1293E-06,7.44911E-07
0.765380859,3.15392E-06,8.49067E-07
0.77041626,3.17843E-06,9.71964E-07
0.77545166,3.20293E-06,1.10768E-06
0.780487061,3.2273E-06,1.26183E-06
0.785522461,3.25167E-06,1.4224E-06
0.790557861,3.27591E-06,1.59836E-06
0.795593262,3.30014E-06,1.80209E-06
0.800628662,3.32424E-06,2.0081E-06
0.805664063,3.34833E-06,2.24585E-06
0.810699463,3.37228E-06,2.50327E-06
0.815734863,3.39622E-06,2.77657E-06
0.820770264,3.42001E-06,3.05185E-06
0.825805664,3.44381E-06,3.35215E-06
0.830841064,3.46744E-06,3.64316E-06
0.835876465,3.49107E-06,3.95613E-06
0.840911865,3.51455E-06,4.25004E-06
0.845947266,3.53802E-06,4.56959E-06
0.850982666,3.56132E-06,4.87862E-06
0.856018066,3.58463E-06,5.19833E-06
0.861053467,3.60776E-06,5.48342E-06
0.866088867,3.6309E-06,5.77767E-06
0.871124268,3.65386E-06,6.05378E-06
0.876159668,3.67682E-06,6.30243E-06
0.881195068,3.6996E-06,6.54821E-06
0.886230469,3.72238E-06,6.76651E-06
0.891265869,3.74498E-06,6.96059E-06
0.89630127,3.76757E-06,7.11805E-06
0.90133667,3.78999E-06,7.25432E-06
0.90637207,3.8124E-06,7.35703E-06
0.911407471,3.83463E-06,7.42941E-06
0.916442871,3.85685E-06,7.46517E-06
0.921478271,3.87889E-06,7.4767E-06
0.926513672,3.90092E-06,7.43941E-06
0.931549072,3.92277E-06,7.35653E-06
0.936584473,3.94461E-06,7.23703E-06
0.941619873,3.96626E-06,7.075E-06
0.946655273,3.98791E-06,6.87635E-06
0.951690674,4.00936E-06,6.63212E-06
0.956726074,4.03081E-06,6.34516E-06
0.961761475,4.05207E-06,6.04009E-06
0.966796875,4.07333E-06,5.70145E-06
0.971832275,4.09438E-06,5.36607E-06
0.976867676,4.11544E-06,5.00931E-06
0.981903076,4.1363E-06,4.65276E-06
0.986938477,4.15716E-06,4.29926E-06
0.991973877,4.17782E-06,3.97037E-06
0.997009277,4.19848E-06,3.64148E-06
1.002044678,4.21894E-06,3.33416E-06
1.007080078,4.23941E-06,3.04514E-06
1.012115479,4.25967E-06,2.78379E-06
1.017150879,4.27993E-06,2.53159E-06
1.022186279,4.3E-06,2.30706E-06
1.02722168,4.32006E-06,2.09778E-06
1.03225708,4.33993E-06,1.90702E-06
1.03729248,4.3598E-06,1.72846E-06
1.042327881,4.37947E-06,1.57756E-06
1.047363281,4.39914E-06,1.42972E-06
1.052398682,4.41861E-06,1.30343E-06
1.057434082,4.43809E-06,1.17715E-06
1.062469482,4.45737E-06,1.06936E-06
1.067504883,4.47665E-06,9.7379E-07
1.072540283,4.49574E-06,8.87562E-07
1.077575684,4.51483E-06,8.07438E-07
1.082611084,4.53373E-06,7.30556E-07
1.087646484,4.55263E-06,6.65881E-07
1.092681885,4.57134E-06,6.07497E-07
1.097717285,4.59005E-06,5.55217E-07
1.102752686,4.60857E-06,5.06175E-07
1.107788086,4.6271E-06,4.57133E-07
1.112823486,4.64544E-06,4.14378E-07
1.117858887,4.66378E-06,3.89933E-07
1.122894287,4.68194E-06,3.44307E-07
1.127929688,4.7001E-06,3.26147E-07
1.132965088,4.71808E-06,2.95957E-07
1.138000488,4.73606E-06,2.77975E-07
1.143035889,4.75387E-06,2.47961E-07
1.148071289,4.77168E-06,2.36257E-07
1.153106689,4.78931E-06,2.1557E-07
1.15814209,4.80695E-06,2.00986E-07
1.16317749,4.82441E-06,1.86572E-07
1.168212891,4.84188E-06,1.75209E-07
1.173248291,4.85918E-06,1.60959E-07
1.178283691,4.87648E-06,1.52814E-07
1.183319092,4.89362E-06,1.38727E-07
1.188354492,4.91076E-06,1.33795E-07
1.193389893,4.92774E-06,1.2597E-07
1.198425293,4.94472E-06,1.21197E-07
1.203460693,4.96155E-06,1.19631E-07
1.208496094,4.97837E-06,1.11961E-07
1.213531494,4.99504E-06,1.04443E-07
1.218566895,5.01172E-06,1.0608E-07
1.223602295,5.02824E-06,9.5658E-08
1.228637695,5.04477E-06,9.74429E-08
1.233673096,5.06115E-06,9.63203E-08
1.238708496,5.07753E-06,9.21458E-08
1.243743896,5.09377E-06,9.42153E-08
1.248779297,5.11001E-06,9.3233E-08
1.253814697,5.12612E-06,8.93357E-08
1.258850098,5.14222E-06,9.76453E-08
1.263885498,5.15819E-06,9.38808E-08
1.268920898,5.17417E-06,9.62199E-08
1.273956299,5.19001E-06,9.8688E-08
1.278991699,5.20585E-06,9.81044E-08
1.2840271,5.22157E-06,1.06801E-07
1.2890625,5.23728E-06,1.06343E-07
1.2940979,5.25288E-06,1.1211E-07
1.299133301,5.26848E-06,1.11773E-07
1.304168701,5.28395E-06,1.20709E-07
1.309204102,5.29943E-06,1.2049E-07
1.314239502,5.3148E-06,1.26489E-07
1.319274902,5.33016E-06,1.26384E-07
1.324310303,5.34541E-06,1.35545E-07
1.329345703,5.36067E-06,1.41654E-07
1.334381104,5.37581E-06,1.44818E-07
1.339416504,5.39096E-06,1.47982E-07
1.344451904,5.406E-06,1.60405E-07
1.349487305,5.42105E-06,1.66723E-07
1.354522705,5.43599E-06,1.79245E-07
1.359558105,5.45093E-06,1.85664E-07
1.364593506,5.46578E-06,1.89126E-07
1.369628906,5.48063E-06,1.95641E-07
1.374664307,5.49538E-06,1.99196E-07
1.379699707,5.51014E-06,2.02751E-07
1.384735107,5.52481E-06,2.09447E-07
1.389770508,5.53947E-06,2.1004E-07
1.394805908,5.55405E-06,2.19873E-07
1.399841309,5.56863E-06,2.20552E-07
1.404876709,5.58313E-06,2.3352E-07
1.409912109,5.59763E-06,2.37332E-07
1.41494751,5.61205E-06,2.44276E-07
1.41998291,5.62647E-06,2.54271E-07
1.425018311,5.64081E-06,2.67394E-07
1.430053711,5.65515E-06,2.80517E-07
1.435089111,5.66942E-06,2.90661E-07
1.440124512,5.68369E-06,3.03857E-07
1.445159912,5.69789E-06,3.20175E-07
1.450195313,5.71209E-06,3.33441E-07
1.455230713,5.72622E-06,3.37618E-07
1.460266113,5.74036E-06,3.54003E-07
1.465301514,5.75443E-06,3.64348E-07
1.470336914,5.7685E-06,3.6859E-07
1.475372314,5.7825E-06,3.75945E-07
1.480407715,5.79651E-06,3.83299E-07
1.485443115,5.81046E-06,3.84609E-07
1.490478516,5.82441E-06,3.82867E-07
1.495513916,5.8383E-06,3.75077E-07
1.500549316,5.8522E-06,3.70339E-07
1.505584717,5.86604E-06,3.62602E-07
1.510620117,5.87988E-06,3.60969E-07
1.515655518,5.89367E-06,3.44127E-07
1.520690918,5.90746E-06,3.30337E-07
