Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,5.17273E-07,-3.31116E-07
0.0050354,5.34638E-07,3.13751E-07
0.010070801,5.52002E-07,3.39111E-07
0.015106201,5.69367E-07,3.21747E-07
0.020141602,5.86731E-07,2.98279E-07
0.025177002,6.04095E-07,2.42767E-07
0.030212402,6.2146E-07,2.4524E-07
0.035247803,6.38824E-07,2.0987E-07
0.040283203,6.56187E-07,1.79384E-07
0.045318604,6.73551E-07,1.75753E-07
0.050354004,6.90915E-07,1.53202E-07
0.055389404,7.08278E-07,1.34923E-07
0.060424805,7.25641E-07,1.21222E-07
0.065460205,7.43004E-07,1.19728E-07
0.070495605,7.60366E-07,1.06028E-07
0.075531006,7.77728E-07,1.03314E-07
0.080566406,7.9509E-07,9.84642E-08
0.085601807,8.12452E-07,8.53752E-08
0.090637207,8.29813E-07,8.29673E-08
0.095672607,8.47174E-07,7.53721E-08
0.100708008,8.64535E-07,9.69212E-08
0.105743408,8.81895E-07,9.57049E-08
0.110778809,8.99255E-07,9.16199E-08
0.115814209,9.16615E-07,8.897E-08
0.120849609,9.33974E-07,8.55572E-08
0.12588501,9.51333E-07,8.32744E-08
0.13092041,9.68691E-07,8.21512E-08
0.135955811,9.86049E-07,7.83128E-08
0.140991211,1.00341E-06,7.67021E-08
0.146026611,1.02076E-06,7.20101E-08
0.151062012,1.03812E-06,6.95153E-08
0.156097412,1.05548E-06,6.66248E-08
0.161132813,1.07283E-06,5.29615E-08
0.166168213,1.09019E-06,4.171E-08
0.171203613,1.10754E-06,4.38863E-08
0.176239014,1.1249E-06,4.97256E-08
0.181274414,1.14225E-06,5.06821E-08
0.186309814,1.1596E-06,4.95033E-08
0.191345215,1.17696E-06,5.9616E-08
0.196380615,1.19431E-06,6.149E-08
0.201416016,1.21166E-06,5.69553E-08
0.206451416,1.22901E-06,5.39474E-08
0.211486816,1.24636E-06,5.49068E-08
0.216522217,1.26371E-06,4.79326E-08
0.221557617,1.28106E-06,5.37758E-08
0.226593018,1.29841E-06,5.87044E-08
0.231628418,1.31576E-06,6.05812E-08
0.236663818,1.33311E-06,5.36089E-08
0.241699219,1.35046E-06,6.37265E-08
0.246734619,1.36781E-06,6.43845E-08
0.25177002,1.38515E-06,5.86338E-08
0.25680542,1.4025E-06,6.87532E-08
0.26184082,1.41985E-06,6.72759E-08
0.266876221,1.43719E-06,6.42736E-08
0.271911621,1.45454E-06,6.12713E-08
0.276947021,1.47188E-06,6.83407E-08
0.281982422,1.48923E-06,6.99168E-08
0.287017822,1.50657E-06,6.93576E-08
0.292053223,1.52391E-06,5.56758E-08
0.297088623,1.54126E-06,7.15968E-08
0.302124023,1.5586E-06,6.24935E-08
0.307159424,1.57594E-06,6.28512E-08
0.312194824,1.59329E-06,6.10728E-08
0.317230225,1.61063E-06,6.14313E-08
0.322265625,1.62797E-06,5.69069E-08
0.327301025,1.64531E-06,5.42143E-08
0.332336426,1.66265E-06,5.06061E-08
0.337371826,1.67999E-06,4.82192E-08
0.342407227,1.69733E-06,4.21701E-08
0.347442627,1.71467E-06,4.16148E-08
0.352478027,1.73201E-06,4.31957E-08
0.357513428,1.74935E-06,2.67716E-08
0.362548828,1.76669E-06,2.8353E-08
0.367584229,1.78403E-06,2.50519E-08
0.372619629,1.80137E-06,1.77835E-08
0.377655029,1.81871E-06,2.24174E-08
0.38269043,1.83605E-06,1.27079E-08
0.38772583,1.85339E-06,1.00178E-08
0.39276123,1.87072E-06,1.40415E-08
0.397796631,1.88806E-06,8.29986E-09
0.402832031,1.9054E-06,2.86335E-09
0.407867432,1.92274E-06,4.14084E-09
0.412902832,1.94008E-06,-1.90589E-09
0.417938232,1.95742E-06,-2.76456E-09
0.422973633,1.97475E-06,-4.53876E-09
0.428009033,1.99209E-06,-1.73532E-09
0.433044434,2.00943E-06,-6.2561E-09
0.438079834,2.02682E-06,-1.11389E-08
0.443115234,2.04422E-06,-7.47681E-09
0.448150635,2.06169E-06,-9.99451E-09
0.453186035,2.07916E-06,-9.76562E-09
0.458221436,2.10148E-06,-1.25504E-08
0.463256836,2.12379E-06,-6.48499E-09
0.468292236,2.14611E-06,-5.6076E-09
0.473327637,2.16843E-06,-8.39233E-09
0.478363037,2.19074E-06,-1.11771E-08
0.483398438,2.21306E-06,-1.06049E-08
0.488433838,2.23537E-06,-6.67572E-09
0.493469238,2.25769E-06,-1.37329E-08
0.498504639,2.28348E-06,-1.20544E-08
0.503540039,2.30927E-06,-7.93457E-09
0.508575439,2.33505E-06,-1.11389E-08
0.51361084,2.36084E-06,-1.31226E-08
0.51864624,2.38663E-06,-9.30786E-09
0.523681641,2.41241E-06,-1.43433E-08
0.528717041,2.44213E-06,-1.53732E-08
0.533752441,2.47185E-06,-1.18256E-08
0.538787842,2.50156E-06,-1.7128E-08
0.543823242,2.53128E-06,-1.44958E-08
0.548858643,2.56134E-06,-1.5564E-08
0.553894043,2.5914E-06,-1.93787E-08
0.558929443,2.62193E-06,-1.11471E-08
0.563964844,2.65245E-06,-9.3242E-09
0.569000244,2.68296E-06,5.33731E-09
0.574035645,2.71346E-06,2.6038E-09
0.579071045,2.74393E-06,-9.79573E-11
0.584106445,2.77441E-06,7.88144E-09
0.589141846,2.80484E-06,1.52927E-08
0.594177246,2.83527E-06,2.14832E-08
0.599212646,2.86565E-06,2.46744E-08
0.604248047,2.89602E-06,3.58002E-08
0.609283447,2.92634E-06,5.37025E-08
0.614318848,2.95665E-06,5.69563E-08
0.619354248,2.9869E-06,7.03536E-08
0.624389648,3.01714E-06,8.43612E-08
0.629425049,3.0473E-06,1.1432E-07
0.634460449,3.07746E-06,1.32988E-07
0.63949585,3.10753E-06,1.67006E-07
0.64453125,3.1376E-06,1.83324E-07
0.64956665,3.16757E-06,2.19886E-07
0.654602051,3.19753E-06,2.62245E-07
0.659637451,3.22739E-06,2.89761E-07
0.664672852,3.25725E-06,3.46269E-07
0.669708252,3.28698E-06,4.02591E-07
0.674743652,3.31672E-06,4.54335E-07
0.679779053,3.34633E-06,5.23907E-07
0.684814453,3.37594E-06,5.9409E-07
0.689849854,3.40542E-06,6.64713E-07
0.694885254,3.43489E-06,7.64939E-07
0.699920654,3.46422E-06,8.61341E-07
0.704956055,3.49355E-06,9.65067E-07
0.709991455,3.52273E-06,1.10038E-06
0.715026855,3.55191E-06,1.22043E-06
0.720062256,3.58093E-06,1.35987E-06
0.725097656,3.60995E-06,1.53043E-06
0.730133057,3.63881E-06,1.68193E-06
0.735168457,3.66766E-06,1.86396E-06
0.740203857,3.69634E-06,2.05317E-06
0.745239258,3.72503E-06,2.25886E-06
0.750274658,3.75353E-06,2.48731E-06
