Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,6.10352E-07,-2.34985E-07
0.0050354,6.22602E-07,2.22735E-07
0.010070801,6.34851E-07,2.31848E-07
0.015106201,6.47101E-07,2.07391E-07
0.020141602,6.59351E-07,1.70727E-07
0.025177002,6.71601E-07,1.62139E-07
0.030212402,6.83851E-07,1.4287E-07
0.035247803,6.96101E-07,1.26348E-07
0.040283203,7.08351E-07,1.18675E-07
0.045318604,7.20601E-07,9.78804E-08
0.050354004,7.32851E-07,8.56304E-08
0.055389404,7.45101E-07,7.24649E-08
0.060424805,7.57351E-07,6.11305E-08
0.065460205,7.69601E-07,5.55944E-08
0.070495605,7.81851E-07,4.54807E-08
0.075531006,7.94101E-07,3.65877E-08
0.080566406,8.06351E-07,2.76947E-08
0.085601807,8.18601E-07,2.15483E-08
0.090637207,8.30851E-07,1.78432E-08
0.095672607,8.43101E-07,1.32227E-08
0.100708008,8.5535E-07,5.55038E-09
0.105743408,8.676E-07,1.43051E-11
0.110778809,8.7985E-07,6.38008E-09
0.115814209,8.921E-07,2.67506E-09
0.120849609,9.0435E-07,-4.69208E-09
0.12588501,9.166E-07,-1.57356E-10
0.13092041,9.2885E-07,-7.82967E-09
0.135955811,9.411E-07,-3.9053E-09
0.140991211,9.5335E-07,-4.55856E-09
0.146026611,9.656E-07,-7.65324E-09
0.151062012,9.7785E-07,-2.81334E-09
0.156097412,9.901E-07,-4.99249E-09
0.161132813,1.00235E-06,-2.89917E-09
0.166168213,1.01616E-06,-1.091E-08
0.171203613,1.02997E-06,-4.88281E-09
0.176239014,1.0439E-06,-9.05355E-09
0.181274414,1.05784E-06,-4.06901E-09
0.186309814,1.07178E-06,-7.32422E-09
0.191345215,1.08571E-06,-9.05355E-09
0.196380615,1.09965E-06,-1.93278E-09
0.201416016,1.11359E-06,-2.11758E-22
0.206451416,1.12752E-06,-8.13802E-09
0.211486816,1.14146E-06,-4.67936E-09
0.216522217,1.1554E-06,-8.54492E-09
0.221557617,1.16933E-06,-5.69661E-09
0.226593018,1.18327E-06,-1.93278E-09
0.231628418,1.1972E-06,-8.23975E-09
0.236663818,1.21132E-06,-5.87463E-09
0.241699219,1.22543E-06,2.89917E-09
0.246734619,1.23955E-06,-4.19617E-09
0.25177002,1.25366E-06,-3.35693E-09
0.25680542,1.26778E-06,2.97546E-09
0.26184082,1.28189E-06,-8.69751E-09
0.266876221,1.29608E-06,-5.49316E-09
0.271911621,1.31027E-06,-2.28882E-09
0.276947021,1.32446E-06,-3.05176E-09
0.281982422,1.33865E-06,-1.14441E-08
0.287017822,1.3546E-06,-4.50134E-09
0.292053223,1.37054E-06,-6.40869E-09
0.297088623,1.38672E-06,-9.76563E-09
0.302124023,1.40289E-06,-1.0376E-08
0.307159424,1.41922E-06,-5.95093E-09
0.312194824,1.43555E-06,-7.93457E-09
0.317230225,1.45477E-06,-1.12915E-08
0.322265625,1.474E-06,-1.19019E-08
0.327301025,1.49323E-06,-4.57764E-09
0.332336426,1.51245E-06,-1.28174E-08
0.337371826,1.53328E-06,-8.01086E-09
0.342407227,1.55411E-06,-1.14441E-08
0.347442627,1.57837E-06,-1.28174E-08
0.352478027,1.60263E-06,-1.14441E-08
0.357513428,1.62971E-06,-1.56403E-08
0.362548828,1.6568E-06,-1.15967E-08
0.367584229,1.68488E-06,-1.64795E-08
0.372619629,1.71295E-06,-1.40381E-08
0.377655029,1.74286E-06,-1.58691E-08
0.38269043,1.77277E-06,-1.5564E-08
0.38772583,1.80321E-06,-1.48773E-08
0.39276123,1.83365E-06,-1.60217E-08
0.397796631,1.86539E-06,-1.57166E-08
0.402832031,1.89713E-06,-1.32751E-08
0.407867432,1.92886E-06,-1.54114E-08
0.412902832,1.9606E-06,-1.54114E-08
0.417938232,1.99409E-06,-1.80817E-08
0.422973633,2.02759E-06,-1.67847E-08
0.428009033,2.06139E-06,-1.70135E-08
0.433044434,2.09518E-06,-1.4801E-08
0.438079834,2.12905E-06,-1.90624E-08
0.443115234,2.16291E-06,-1.66099E-08
0.448150635,2.19675E-06,-1.0777E-08
0.453186035,2.23059E-06,-6.47006E-09
0.458221436,2.2644E-06,-2.97021E-10
0.463256836,2.2982E-06,3.73979E-09
0.468292236,2.33196E-06,9.65423E-09
0.473327637,2.36572E-06,1.80101E-08
0.478363037,2.39942E-06,2.73395E-08
0.483398438,2.43312E-06,4.12466E-08
0.488433838,2.46675E-06,5.33921E-08
0.493469238,2.50038E-06,6.91996E-08
0.498504639,2.53393E-06,8.38672E-08
0.503540039,2.56748E-06,1.0708E-07
0.508575439,2.60094E-06,1.32825E-07
0.51361084,2.6344E-06,1.47585E-07
0.51864624,2.66775E-06,1.73738E-07
0.523681641,2.70111E-06,1.98977E-07
0.528717041,2.73435E-06,2.3623E-07
0.533752441,2.76759E-06,2.71653E-07
0.538787842,2.80071E-06,3.10251E-07
0.543823242,2.83383E-06,3.45798E-07
0.548858643,2.86681E-06,3.87583E-07
0.553894043,2.89979E-06,4.25401E-07
0.558929443,2.93263E-06,4.82589E-07
0.563964844,2.96547E-06,5.32149E-07
0.569000244,2.99815E-06,5.86135E-07
0.574035645,3.03084E-06,6.4531E-07
0.579071045,3.06336E-06,7.06785E-07
0.584106445,3.09587E-06,7.63378E-07
0.589141846,3.12822E-06,8.31131E-07
0.594177246,3.16056E-06,9.04378E-07
0.599212646,3.19272E-06,9.76587E-07
0.604248047,3.22489E-06,1.05398E-06
0.609283447,3.25685E-06,1.14042E-06
0.614318848,3.28882E-06,1.22045E-06
0.619354248,3.32059E-06,1.30435E-06
0.624389648,3.35236E-06,1.39252E-06
0.629425049,3.38392E-06,1.49035E-06
0.634460449,3.41547E-06,1.57324E-06
0.63949585,3.44681E-06,1.67373E-06
0.64453125,3.47815E-06,1.76751E-06
0.64956665,3.50927E-06,1.86335E-06
0.654602051,3.54038E-06,1.95553E-06
0.659637451,3.57126E-06,2.0577E-06
0.664672852,3.60215E-06,2.15713E-06
0.669708252,3.63279E-06,2.2568E-06
0.674743652,3.66343E-06,2.35158E-06
0.679779053,3.69382E-06,2.44936E-06
0.684814453,3.72422E-06,2.53494E-06
0.689849854,3.75436E-06,2.62381E-06
0.694885254,3.7845E-06,2.71574E-06
0.699920654,3.81438E-06,2.80793E-06
0.704956055,3.84426E-06,2.89097E-06
0.709991455,3.87388E-06,2.97426E-06
0.715026855,3.9035E-06,3.05756E-06
0.720062256,3.93284E-06,3.12893E-06
0.725097656,3.96219E-06,3.20334E-06
0.730133057,3.99126E-06,3.26888E-06
0.735168457,4.02032E-06,3.33746E-06
0.740203857,4.04911E-06,3.38802E-06
0.745239258,4.0779E-06,3.42637E-06
0.750274658,4.1064E-06,3.46806E-06
0.755310059,4.13491E-06,3.50364E-06
0.760345459,4.16312E-06,3.52731E-06
0.765380859,4.19133E-06,3.54182E-06
0.77041626,4.21925E-06,3.55052E-06
0.77545166,4.24717E-06,3.55312E-06
0.780487061,4.27479E-06,3.54991E-06
0.785522461,4.30242E-06,3.5345E-06
