Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
-0.043334961,4.69971E-07,-1.2207E-07
-0.038299561,4.55989E-07,1.36052E-07
-0.03326416,4.42007E-07,1.37827E-07
-0.02822876,4.28016E-07,2.03697E-07
-0.023193359,4.14026E-07,2.02429E-07
-0.018157959,4.00023E-07,2.24672E-07
-0.013122559,3.8602E-07,2.17923E-07
-0.008087158,3.72E-07,2.7009E-07
-0.003051758,3.5798E-07,2.90213E-07
0.001983643,3.43939E-07,2.90826E-07
0.007019043,3.29899E-07,3.28671E-07
0.012054443,3.15833E-07,3.39685E-07
0.017089844,3.01767E-07,3.75723E-07
0.022125244,2.87673E-07,3.84935E-07
0.027160645,2.73578E-07,4.03607E-07
0.032196045,2.59451E-07,4.46726E-07
0.037231445,2.45324E-07,4.75807E-07
0.042266846,2.3116E-07,4.96684E-07
0.047302246,2.16996E-07,5.09932E-07
0.052337646,2.02792E-07,5.29324E-07
0.057373047,1.88588E-07,2.94871E-07
0.062408447,1.74341E-07,3.17816E-07
0.067443848,1.60093E-07,3.40944E-07
0.072479248,1.45799E-07,3.618E-07
0.077514648,1.31504E-07,3.80855E-07
0.082550049,1.17159E-07,4.02738E-07
0.087585449,1.02814E-07,4.22546E-07
0.09262085,8.84157E-08,4.42071E-07
0.09765625,7.40171E-08,4.63092E-07
0.10269165,5.95621E-08,4.83224E-07
0.107727051,4.51071E-08,5.04148E-07
0.112762451,3.05928E-08,5.22569E-07
0.117797852,1.60784E-08,5.45811E-07
0.122833252,1.50209E-09,5.63653E-07
0.127868652,-1.30743E-08,5.8476E-07
0.132904053,-2.77151E-08,6.03979E-07
0.137939453,-4.2356E-08,6.20542E-07
0.142974854,-5.70637E-08,6.41323E-07
0.148010254,-7.17714E-08,6.58258E-07
0.153045654,-8.6548E-08,6.763E-07
0.158081055,-1.01325E-07,6.9718E-07
0.163116455,-1.16172E-07,7.1035E-07
0.168151855,-1.3102E-07,7.25807E-07
0.173187256,-1.4594E-07,7.4027E-07
0.178222656,-1.60861E-07,7.55251E-07
0.183258057,-1.75855E-07,7.70307E-07
0.188293457,-1.9085E-07,7.82067E-07
0.193328857,-2.0592E-07,7.92285E-07
0.198364258,-2.2099E-07,8.00122E-07
0.203399658,-2.36137E-07,8.09105E-07
0.208435059,-2.51284E-07,8.12808E-07
0.213470459,-2.66509E-07,8.17291E-07
0.218505859,-2.81734E-07,8.24123E-07
0.22354126,-2.97038E-07,8.29417E-07
0.22857666,-3.12341E-07,8.34802E-07
0.233612061,-3.27724E-07,8.399E-07
0.238647461,-3.43107E-07,8.42588E-07
0.243682861,-3.58569E-07,8.47064E-07
0.248718262,-3.74031E-07,8.433E-07
0.253753662,-3.89573E-07,8.43644E-07
0.258789063,-4.05115E-07,8.38983E-07
0.263824463,-4.20736E-07,8.35043E-07
0.268859863,-4.36357E-07,8.32506E-07
0.273895264,-4.52058E-07,8.24983E-07
0.278930664,-4.67759E-07,8.21794E-07
0.283966064,-4.83539E-07,8.17859E-07
0.289001465,-4.99319E-07,8.11727E-07
0.294036865,-5.15177E-07,8.05491E-07
0.299072266,-5.31035E-07,8.00841E-07
0.304107666,-5.4697E-07,7.99198E-07
0.309143066,-5.62906E-07,7.96762E-07
0.314178467,-5.78918E-07,7.93517E-07
0.319213867,-5.94929E-07,7.89815E-07
0.324249268,-6.11016E-07,7.86706E-07
0.329284668,-6.27103E-07,7.81889E-07
0.334320068,-6.43264E-07,7.76412E-07
0.339355469,-6.59425E-07,7.71607E-07
0.344390869,-6.75657E-07,7.65928E-07
0.34942627,-6.9189E-07,7.57625E-07
0.35446167,-7.08193E-07,7.5278E-07
0.35949707,-7.24496E-07,7.45462E-07
0.364532471,-7.40868E-07,7.37969E-07
0.369567871,-7.57239E-07,7.29285E-07
0.374603271,-7.73677E-07,7.22377E-07
0.379638672,-7.90115E-07,7.12753E-07
0.384674072,-8.06616E-07,7.08807E-07
0.389709473,-8.23118E-07,6.9943E-07
0.394744873,-8.39681E-07,6.95119E-07
0.399780273,-8.56244E-07,6.89191E-07
0.404815674,-8.72866E-07,6.83932E-07
0.409851074,-8.89488E-07,6.7849E-07
0.414886475,-9.06166E-07,6.73317E-07
0.419921875,-9.22845E-07,6.68877E-07
0.424957275,-9.39576E-07,6.63392E-07
0.429992676,-9.56308E-07,6.59066E-07
0.435028076,-9.73089E-07,6.57232E-07
0.440063477,-9.89871E-07,6.48715E-07
0.445098877,-1.0067E-06,6.43785E-07
0.450134277,-1.02353E-06,6.41266E-07
0.455169678,-1.0404E-06,6.39218E-07
0.460205078,-1.05728E-06,6.35828E-07
0.465240479,-1.07419E-06,6.32203E-07
0.470275879,-1.0911E-06,6.2989E-07
0.475311279,-1.10805E-06,6.27036E-07
0.48034668,-1.125E-06,6.25188E-07
0.48538208,-1.14199E-06,6.23984E-07
0.49041748,-1.15897E-06,6.25801E-07
0.495452881,-1.17599E-06,6.25574E-07
0.500488281,-1.193E-06,6.28764E-07
0.505523682,-1.21005E-06,6.29082E-07
0.510559082,-1.22709E-06,6.30224E-07
0.515594482,-1.24415E-06,6.29679E-07
0.520629883,-1.26122E-06,6.34445E-07
0.525665283,-1.2783E-06,6.36392E-07
0.530700684,-1.29538E-06,6.37759E-07
0.535736084,-1.31248E-06,6.38927E-07
0.540771484,-1.32958E-06,6.3915E-07
0.545806885,-1.34669E-06,3.44335E-08
0.550842285,-1.3638E-06,1.79744E-08
0.555877686,-1.38092E-06,2.10542E-08
0.560913086,-1.39804E-06,1.25373E-08
0.565948486,-1.41516E-06,2.23348E-08
0.570983887,-1.43228E-06,1.01596E-08
0.576019287,-1.4494E-06,2.20934E-08
0.581054688,-1.46652E-06,-2.89917E-09
0.586090088,-1.48137E-06,1.7746E-08
