Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
-0.179748535,3.79944E-07,-5.95093E-08
-0.174713135,3.84555E-07,5.4898E-08
-0.169677734,3.89166E-07,5.9442E-08
-0.164642334,3.93778E-07,5.48307E-08
-0.159606934,3.98389E-07,5.63229E-08
-0.154571533,4.03E-07,5.14064E-08
-0.149536133,4.07612E-07,4.77106E-08
-0.144500732,4.12223E-07,4.03528E-08
-0.139465332,4.16834E-07,4.91692E-08
-0.134429932,4.21446E-07,4.85252E-08
-0.129394531,4.26057E-07,2.52982E-08
-0.124359131,4.30668E-07,3.07577E-08
-0.11932373,4.35279E-07,3.5912E-08
-0.11428833,4.39891E-07,2.45868E-08
-0.10925293,4.44502E-07,1.96704E-08
-0.104217529,4.49113E-07,2.66558E-08
-0.099182129,4.53725E-07,2.20445E-08
-0.094146729,4.58336E-07,2.26212E-08
-0.089111328,4.62947E-07,2.10616E-08
-0.084075928,4.67558E-07,4.54847E-09
-0.079040527,4.7217E-07,1.48297E-08
-0.074005127,4.76781E-07,1.13476E-08
-0.068969727,4.81392E-07,9.02512E-09
-0.063934326,4.86004E-07,8.8694E-09
-0.058898926,4.90615E-07,6.08915E-09
-0.053863525,4.95226E-07,3.70564E-09
-0.048828125,4.99838E-07,2.05455E-09
-0.043792725,5.04449E-07,2.78383E-09
-0.038757324,5.0906E-07,7.36012E-10
-0.033721924,5.13671E-07,-1.86112E-09
-0.028686523,5.18283E-07,-2.19996E-09
-0.023651123,5.22894E-07,-1.25705E-09
-0.018615723,5.27505E-07,-1.16864E-09
-0.013580322,5.32117E-07,-1.59903E-09
-0.008544922,5.36728E-07,-3.09753E-09
-0.003509521,5.41805E-07,-1.97983E-09
0.001525879,5.46883E-07,-2.26593E-09
0.006561279,5.5196E-07,-1.48392E-09
0.01159668,5.57037E-07,-3.63159E-09
0.01663208,5.62447E-07,-1.77765E-09
0.02166748,5.67856E-07,-1.8158E-09
0.026702881,5.73265E-07,-1.64032E-09
0.031738281,5.78674E-07,-2.89917E-09
0.036773682,5.85136E-07,-3.56293E-09
0.041809082,5.91599E-07,-3.61633E-09
