Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0,6.72913E-07,-4.22668E-07
0.0050354,6.88078E-07,4.07503E-07
0.010070801,7.03243E-07,4.32011E-07
0.015106201,7.18407E-07,4.01588E-07
0.020141602,7.33572E-07,3.74216E-07
0.025177002,7.48736E-07,3.45319E-07
0.030212402,7.639E-07,3.31071E-07
0.035247803,7.79063E-07,2.96987E-07
0.040283203,7.94226E-07,2.87012E-07
0.045318604,8.09388E-07,2.7246E-07
0.050354004,8.2455E-07,2.52416E-07
0.055389404,8.3971E-07,2.45495E-07
0.060424805,8.5487E-07,2.36133E-07
0.065460205,8.70029E-07,2.20974E-07
0.070495605,8.85188E-07,2.17717E-07
0.075531006,9.00345E-07,2.04696E-07
0.080566406,9.15502E-07,1.99305E-07
0.085601807,9.30657E-07,1.92695E-07
0.090637207,9.45813E-07,1.89747E-07
0.095672607,9.60966E-07,1.85275E-07
0.100708008,9.76119E-07,1.81108E-07
0.105743408,9.91269E-07,1.82132E-07
0.110778809,1.00642E-06,1.76747E-07
0.115814209,1.02157E-06,1.76552E-07
0.120849609,1.03672E-06,1.71475E-07
0.12588501,1.05186E-06,1.72503E-07
0.13092041,1.06701E-06,1.72617E-07
0.135955811,1.08215E-06,1.75784E-07
0.140991211,1.09729E-06,1.71628E-07
0.146026611,1.11243E-06,1.71441E-07
0.151062012,1.12757E-06,1.76443E-07
0.156097412,1.14271E-06,1.76565E-07
0.161132813,1.15785E-06,1.7394E-07
0.166168213,1.17298E-06,1.72233E-07
0.171203613,1.18812E-06,1.78157E-07
0.176239014,1.20325E-06,1.7157E-07
0.181274414,1.21838E-06,1.75055E-07
0.186309814,1.23351E-06,1.76712E-07
0.191345215,1.24863E-06,1.78674E-07
0.196380615,1.26376E-06,1.71789E-07
0.201416016,1.27888E-06,1.79858E-07
0.206451416,1.294E-06,1.75417E-07
0.211486816,1.30913E-06,1.79522E-07
0.216522217,1.32424E-06,1.74169E-07
0.221557617,1.33936E-06,1.81023E-07
0.226593018,1.35448E-06,1.86965E-07
0.231628418,1.36959E-06,1.75512E-07
0.236663818,1.3847E-06,1.7749E-07
0.241699219,1.39982E-06,1.7367E-07
0.246734619,1.41493E-06,1.80533E-07
0.25177002,1.43003E-06,1.72749E-07
0.25680542,1.44514E-06,1.7992E-07
0.26184082,1.46025E-06,1.71223E-07
0.266876221,1.47535E-06,1.66191E-07
0.271911621,1.49045E-06,1.69093E-07
0.276947021,1.50555E-06,1.67421E-07
0.281982422,1.52065E-06,1.688E-07
0.287017822,1.53575E-06,1.54618E-07
0.292053223,1.55085E-06,1.59663E-07
0.297088623,1.56594E-06,1.5769E-07
0.302124023,1.58104E-06,1.55413E-07
0.307159424,1.59613E-06,1.48255E-07
0.312194824,1.61122E-06,1.44454E-07
0.317230225,1.62631E-06,1.38214E-07
0.322265625,1.6414E-06,1.38688E-07
0.327301025,1.65649E-06,1.29094E-07
