Potential applied (V),Time (s),WE(1).Current (A),WE(1).Potential (V),Scan,Index,Q+,Q-,Current range
-0.024261474609375,67.1991588303384,-1.71478271484375E-07,-0.02427978515625,1,1,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.02471923828125,67.2037368303269,-1.375732421875E-07,-0.0246429443359375,1,2,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.025177001953125,67.2083148303153,-2.337646484375E-08,-0.0250823974609375,1,3,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.025634765625,67.2128928303038,-1.47705078125E-08,-0.0255828857421875,1,4,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.026092529296875,67.2174708302922,-1.91680908203125E-07,-0.0261199951171875,1,5,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.02655029296875,67.2220488302806,-1.84539794921875E-07,-0.026519775390625,1,6,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.027008056640625,67.2266268302691,-4.3243408203125E-08,-0.027020263671875,1,7,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0274658203125,67.2312048302575,1.4923095703125E-08,-0.02750244140625,1,8,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.027923583984375,67.235782830246,-1.177978515625E-07,-0.0279144287109375,1,9,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.02838134765625,67.2403608302344,-2.4200439453125E-07,-0.0284454345703125,1,10,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.028839111328125,67.2449388302228,-1.103515625E-07,-0.0287933349609375,1,11,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.029296875,67.2495168302113,-1.1383056640625E-08,-0.02928466796875,1,12,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.029754638671875,67.2540948301997,-7.82470703125E-08,-0.0297607421875,1,13,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.03021240234375,67.2586728301882,-1.77947998046875E-07,-0.0302581787109375,1,14,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.030670166015625,67.2632508301766,-1.82891845703125E-07,-0.0305511474609375,1,15,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0311279296875,67.2678288301651,-3.7933349609375E-08,-0.031036376953125,1,16,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.031585693359375,67.2724068301535,-4.058837890625E-08,-0.031610107421875,1,17,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.03204345703125,67.2769848301419,-2.2576904296875E-07,-0.0320770263671875,1,18,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.032501220703125,67.2815628301304,-2.29095458984375E-07,-0.0324554443359375,1,19,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.032958984375,67.2861408301188,-1.09344482421875E-07,-0.0327972412109375,1,20,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.033416748046875,67.2907188301073,1.031494140625E-08,-0.033367919921875,1,21,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.03387451171875,67.2952968300957,-1.29302978515625E-07,-0.0340057373046875,1,22,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.034332275390625,67.2998748300841,-2.3468017578125E-07,-0.0343994140625,1,23,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0347900390625,67.3044528300726,-1.39007568359375E-07,-0.0346771240234375,1,24,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.035247802734375,67.309030830061,-4.9835205078125E-08,-0.0352325439453125,1,25,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.03570556640625,67.3136088300495,-7.8094482421875E-08,-0.0357666015625,1,26,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.036163330078125,67.3181868300379,-2.02301025390625E-07,-0.0361541748046875,1,27,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.03662109375,67.3227648300264,-2.205810546875E-07,-0.0366058349609375,1,28,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.037078857421875,67.3273428300148,-4.11376953125E-08,-0.03699951171875,1,29,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.03753662109375,67.3319208300032,-4.9774169921875E-08,-0.037420654296875,1,30,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.037994384765625,67.3364988299917,-1.82037353515625E-07,-0.03804931640625,1,31,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0384521484375,67.3410768299801,-2.59033203125E-07,-0.0385223388671875,1,32,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.038909912109375,67.3456548299686,-1.25701904296875E-07,-0.038848876953125,1,33,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.03936767578125,67.350232829957,-5.18798828125E-10,-0.03931884765625,1,34,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.039825439453125,67.3548108299454,-1.35284423828125E-07,-0.039886474609375,1,35,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.040283203125,67.3593888299339,-2.24639892578125E-07,-0.0402313232421875,1,36,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.040740966796875,67.3639668299223,-1.65740966796875E-07,-0.0405731201171875,1,37,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.04119873046875,67.3685448299108,-6.5582275390625E-08,-0.041131591796875,1,38,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.041656494140625,67.3731228298992,-5.1605224609375E-08,-0.0416534423828125,1,39,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0421142578125,67.3777008298877,-2.08160400390625E-07,-0.0421539306640625,1,40,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.042572021484375,67.3822788298761,-2.0343017578125E-07,-0.042578125,1,41,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.04302978515625,67.3868568298645,-3.3935546875E-08,-0.04293212890625,1,42,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.043487548828125,67.391434829853,-9.3994140625E-09,-0.043438720703125,1,43,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0439453125,67.3960128298414,-1.38641357421875E-07,-0.043988037109375,1,44,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.044403076171875,67.4005908298299,-2.59674072265625E-07,-0.0443756103515625,1,45,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.04486083984375,67.4051688298183,-1.314697265625E-07,-0.044757080078125,1,46,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.045318603515625,67.4097468298067,-2.3101806640625E-08,-0.04534912109375,1,47,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0457763671875,67.4143248297952,-1.13739013671875E-07,-0.0458648681640625,1,48,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.046234130859375,67.4189028297836,-2.00531005859375E-07,-0.046282958984375,1,49,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.04669189453125,67.4234808297721,-1.800537109375E-07,-0.046710205078125,1,50,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.047149658203125,67.4280588297605,-5.74951171875E-08,-0.0471923828125,1,51,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.047607421875,67.432636829749,-3.607177734375E-08,-0.0476959228515625,1,52,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.048065185546875,67.4372148297374,-2.28546142578125E-07,-0.048187255859375,1,53,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.04852294921875,67.4417928297258,-2.1929931640625E-07,-0.0485565185546875,1,54,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.048980712890625,67.4463708297143,-8.5174560546875E-08,-0.0488922119140625,1,55,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0494384765625,67.4509488297027,-3.265380859375E-09,-0.04935302734375,1,56,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.049896240234375,67.4555268296912,-1.43310546875E-07,-0.04998779296875,1,57,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.05035400390625,67.4601048296796,-2.559814453125E-07,-0.05035400390625,1,58,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.050811767578125,67.464682829668,-1.31561279296875E-07,-0.05078125,1,59,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.05126953125,67.4692608296565,-4.547119140625E-08,-0.051361083984375,1,60,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.051727294921875,67.4738388296449,-9.6832275390625E-08,-0.051849365234375,1,61,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.05218505859375,67.4784168296334,-2.08038330078125E-07,-0.0523681640625,1,62,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.052642822265625,67.4829948296218,-2.218017578125E-07,-0.052581787109375,1,63,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.0531005859375,67.4875728296103,-5.6732177734375E-08,-0.053070068359375,1,64,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.053558349609375,67.4921508295987,-6.256103515625E-08,-0.05352783203125,1,65,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.05401611328125,67.4967288295871,-2.24151611328125E-07,-0.053924560546875,1,66,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.054473876953125,67.5013068295756,-2.60528564453125E-07,-0.0545654296875,1,67,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.054931640625,67.505884829564,-1.33270263671875E-07,-0.055023193359375,1,68,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.055389404296875,67.5104628295525,-8.392333984375E-09,-0.055419921875,1,69,0.000196457399474457,-2.15636651962996E-05,1 µA
-0.05584716796875,67.5150408295409,-1.46697998046875E-07,-0.05596923828125,1,70,0.000196457399474457,-2.15636651962996E-05,1 µA
