Ligand,Backbone,E,ZPE,H,T.S,T.qh-S,qh-G(T),E_SPC,qh-G(T)_SPC,State,L_type
PAd2Bu,F4-NClMs-OMe,-3484.142442,-3479.195943,0.803378,-3483.291341,0.130922,0.119476,-3483.422263,-3483.410817,GS,monodentate
PAd2Bu,F4-NClMs-OMe,-3484.106367,-3479.169195,0.801481,-3483.257718,0.128236,0.117877,-3483.385954,-3483.375596,TS,monodentate
PtBu3,F4-NClMs-OMe,-3019.532454,-3015.423851,0.578732,-3018.910638,0.116344,0.109299,-3019.026982,-3019.019937,GS,monodentate
PtBu3,F4-NClMs-OMe,-3019.494248,-3015.390458,0.57685,-3018.874305,0.117863,0.110031,-3018.992168,-3018.984336,TS,monodentate
PtBu2Np,F4-NClMs-OMe,-3058.868427,-3054.682923,0.606846,-3058.217155,0.121363,0.112611,-3058.338518,-3058.329766,GS,monodentate
PtBu2Np,F4-NClMs-OMe,-3058.829141,-3054.65397,0.603776,-3058.180888,0.121268,0.112522,-3058.302157,-3058.293411,TS,monodentate
PtBu2Cy,F4-NClMs-OMe,-3096.978354,-3092.727916,0.616712,-3096.317828,0.119289,0.111231,-3096.437116,-3096.429059,GS,monodentate
PtBu2Cy,F4-NClMs-OMe,-3096.937281,-3092.695554,0.615073,-3096.278621,0.11885,0.11081,-3096.397471,-3096.389431,TS,monodentate
PMes3,F4-NClMs-OMe,-3594.769228,-3589.632099,0.733581,-3593.980144,0.149118,0.135156,-3594.129263,-3594.1153,GS,monodentate
PMes3,F4-NClMs-OMe,-3594.724047,-3589.59501,0.731437,-3593.937994,0.145148,0.132494,-3594.083141,-3594.070487,TS,monodentate
BIPHEP,F4-NClMs-OMe,-4276.092131,-4270.128049,0.742633,-4275.293173,0.147836,0.135206,-4275.441009,-4275.428379,GS,bidentate
BIPHEP,F4-NClMs-OMe,-4276.038035,-4270.081091,0.740205,-4275.241389,0.149293,0.135899,-4275.390682,-4275.377288,TS,bidentate
Fdppe,F4-NClMs-OMe,-5877.546528,-5868.609684,0.474277,-5877.004386,0.175639,0.159061,-5877.180025,-5877.163446,GS,bidentate
Fdppe,F4-NClMs-OMe,-5877.492566,-5868.564069,0.472411,-5876.952318,0.174934,0.158889,-5877.127252,-5877.111206,TS,bidentate
dppe,F4-NClMs-OMe,-3892.623174,-3887.344199,0.635923,-3891.937427,0.136637,0.123924,-3892.074065,-3892.061352,GS,bidentate
dppe,F4-NClMs-OMe,-3892.554807,-3887.284344,0.633195,-3891.871682,0.138173,0.124637,-3892.009855,-3891.996319,TS,bidentate
dcype,F4-NClMs-OMe,-3907.220235,-3901.853644,0.915836,-3906.250059,0.141521,0.130512,-3906.39158,-3906.380572,GS,bidentate
dcype,F4-NClMs-OMe,-3907.147482,-3901.794332,0.912394,-3906.180496,0.144219,0.131816,-3906.324715,-3906.312312,TS,bidentate
dppe,CF3-NMs-Ph,-3595.697435,-3590.425476,0.654345,-3594.969364,0.195182,0.176894,-3595.164546,-3595.146258,GS,bidentate
dppe,CF3-NMs-Ph,-3595.645964,-3590.384859,0.652428,-3594.919055,0.198769,0.178596,-3595.117824,-3595.09765,TS,bidentate
