time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K,Ligand,Replicate
0,0.0137,0.0165387,308.15,PAd2Bu,1
128,0.0137,0.0160676,308.15,PAd2Bu,1
431,0.0137,0.0153122,308.15,PAd2Bu,1
733,0.0137,0.0142605,308.15,PAd2Bu,1
1035,0.0137,0.0129462,308.15,PAd2Bu,1
1337,0.0137,0.0116449,308.15,PAd2Bu,1
1640,0.0137,0.0105794,308.15,PAd2Bu,1
1942,0.0137,0.00959493,308.15,PAd2Bu,1
2244,0.0137,0.00869024,308.15,PAd2Bu,1
2546,0.0137,0.0077443,308.15,PAd2Bu,1
2849,0.0137,0.00712161,308.15,PAd2Bu,1
3151,0.0137,0.00658116,308.15,PAd2Bu,1
3453,0.0137,0.00591044,308.15,PAd2Bu,1
3756,0.0137,0.00545943,308.15,PAd2Bu,1
4058,0.0137,0.0053445,308.15,PAd2Bu,1
4361,0.0137,0.00477624,308.15,PAd2Bu,1
4663,0.0137,0.00466821,308.15,PAd2Bu,1
4965,0.0137,0.00429938,308.15,PAd2Bu,1
5268,0.0137,0.00421472,308.15,PAd2Bu,1
5570,0.0137,0.00386035,308.15,PAd2Bu,1
5872,0.0137,0.00362392,308.15,PAd2Bu,1
6175,0.0137,0.00344014,308.15,PAd2Bu,1
0,0.0244,0.0172392,308.15,PAd2Bu,2
163,0.0244,0.0168108,308.15,PAd2Bu,2
327,0.0244,0.0163926,308.15,PAd2Bu,2
490,0.0244,0.0159571,308.15,PAd2Bu,2
654,0.0244,0.0154008,308.15,PAd2Bu,2
817,0.0244,0.0149228,308.15,PAd2Bu,2
980,0.0244,0.0144463,308.15,PAd2Bu,2
1143,0.0244,0.0139899,308.15,PAd2Bu,2
1307,0.0244,0.0135022,308.15,PAd2Bu,2
1470,0.0244,0.0130618,308.15,PAd2Bu,2
1633,0.0244,0.0126095,308.15,PAd2Bu,2
1796,0.0244,0.0122417,308.15,PAd2Bu,2
1960,0.0244,0.0118532,308.15,PAd2Bu,2
2123,0.0244,0.0114547,308.15,PAd2Bu,2
2286,0.0244,0.0111319,308.15,PAd2Bu,2
2449,0.0244,0.0107824,308.15,PAd2Bu,2
2613,0.0244,0.0104352,308.15,PAd2Bu,2
2776,0.0244,0.010076,308.15,PAd2Bu,2
2939,0.0244,0.00982299,308.15,PAd2Bu,2
3103,0.0244,0.0095425,308.15,PAd2Bu,2
3266,0.0244,0.00925559,308.15,PAd2Bu,2
3429,0.0244,0.00900788,308.15,PAd2Bu,2
3592,0.0244,0.00870921,308.15,PAd2Bu,2
3756,0.0244,0.00849161,308.15,PAd2Bu,2
3919,0.0244,0.00827094,308.15,PAd2Bu,2
4082,0.0244,0.00802769,308.15,PAd2Bu,2
4245,0.0244,0.00784472,308.15,PAd2Bu,2
4408,0.0244,0.0077216,308.15,PAd2Bu,2
4572,0.0244,0.00745667,308.15,PAd2Bu,2
4735,0.0244,0.00734714,308.15,PAd2Bu,2
4898,0.0244,0.0071492,308.15,PAd2Bu,2
5062,0.0244,0.00701205,308.15,PAd2Bu,2
5225,0.0244,0.0068082,308.15,PAd2Bu,2
5388,0.0244,0.00668049,308.15,PAd2Bu,2
5552,0.0244,0.006507,308.15,PAd2Bu,2
5715,0.0244,0.00641247,308.15,PAd2Bu,2
5878,0.0244,0.00624078,308.15,PAd2Bu,2
6042,0.0244,0.0061238,308.15,PAd2Bu,2
6205,0.0244,0.00600269,308.15,PAd2Bu,2
6368,0.0244,0.00592957,308.15,PAd2Bu,2
6531,0.0244,0.00581926,308.15,PAd2Bu,2
6695,0.0244,0.00570586,308.15,PAd2Bu,2
6858,0.0244,0.00562362,308.15,PAd2Bu,2
7021,0.0244,0.00546227,308.15,PAd2Bu,2
7185,0.0244,0.00539306,308.15,PAd2Bu,2
7348,0.0244,0.00528444,308.15,PAd2Bu,2
7511,0.0244,0.00519775,308.15,PAd2Bu,2
7675,0.0244,0.00511914,308.15,PAd2Bu,2
7838,0.0244,0.00506053,308.15,PAd2Bu,2
8001,0.0244,0.00503196,308.15,PAd2Bu,2
8164,0.0244,0.00490488,308.15,PAd2Bu,2
8328,0.0244,0.00480213,308.15,PAd2Bu,2
8491,0.0244,0.00473471,308.15,PAd2Bu,2
8654,0.0244,0.0046636,308.15,PAd2Bu,2
8818,0.0244,0.00465124,308.15,PAd2Bu,2
8981,0.0244,0.00456986,308.15,PAd2Bu,2
9144,0.0244,0.00450626,308.15,PAd2Bu,2
9308,0.0244,0.00442512,308.15,PAd2Bu,2
9471,0.0244,0.00439388,308.15,PAd2Bu,2
9634,0.0244,0.00432623,308.15,PAd2Bu,2
9798,0.0244,0.00429436,308.15,PAd2Bu,2
9961,0.0244,0.00424026,308.15,PAd2Bu,2
10124,0.0244,0.00417209,308.15,PAd2Bu,2
10288,0.0244,0.00414683,308.15,PAd2Bu,2
10451,0.0244,0.00412082,308.15,PAd2Bu,2
10614,0.0244,0.00409266,308.15,PAd2Bu,2
10778,0.0244,0.00396276,308.15,PAd2Bu,2
10941,0.0244,0.00397191,308.15,PAd2Bu,2
11104,0.0244,0.00391589,308.15,PAd2Bu,2
11268,0.0244,0.00393846,308.15,PAd2Bu,2
0,0.0244,0.0187691,308.15,PAd2Bu,3
164,0.0244,0.0181515,308.15,PAd2Bu,3
327,0.0244,0.0179555,308.15,PAd2Bu,3
490,0.0244,0.0174721,308.15,PAd2Bu,3
654,0.0244,0.0169037,308.15,PAd2Bu,3
817,0.0244,0.0162463,308.15,PAd2Bu,3
980,0.0244,0.0158,308.15,PAd2Bu,3
1144,0.0244,0.0153671,308.15,PAd2Bu,3
1307,0.0244,0.014893,308.15,PAd2Bu,3
1470,0.0244,0.014446,308.15,PAd2Bu,3
1634,0.0244,0.0139312,308.15,PAd2Bu,3
1797,0.0244,0.0135653,308.15,PAd2Bu,3
