Ligand,Backbone,time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K
Fdppe,F4-NClMs-OMe,0,0.0137,0.01431,373.15
Fdppe,F4-NClMs-OMe,302,0.0137,0.0132139,373.15
Fdppe,F4-NClMs-OMe,605,0.0137,0.0125174,373.15
Fdppe,F4-NClMs-OMe,907,0.0137,0.0118999,373.15
Fdppe,F4-NClMs-OMe,1210,0.0137,0.0112851,373.15
Fdppe,F4-NClMs-OMe,1512,0.0137,0.0107665,373.15
Fdppe,F4-NClMs-OMe,1814,0.0137,0.0102819,373.15
Fdppe,F4-NClMs-OMe,2117,0.0137,0.00989664,373.15
Fdppe,F4-NClMs-OMe,2419,0.0137,0.00954593,373.15
Fdppe,F4-NClMs-OMe,2722,0.0137,0.00912593,373.15
Fdppe,F4-NClMs-OMe,3024,0.0137,0.00879772,373.15
Fdppe,F4-NClMs-OMe,3326,0.0137,0.00847732,373.15
Fdppe,F4-NClMs-OMe,3629,0.0137,0.00824889,373.15
Fdppe,F4-NClMs-OMe,3931,0.0137,0.00800921,373.15
Fdppe,F4-NClMs-OMe,4233,0.0137,0.00773366,373.15
Fdppe,F4-NClMs-OMe,4536,0.0137,0.00751297,373.15
Fdppe,F4-NClMs-OMe,4838,0.0137,0.0072816,373.15
Fdppe,F4-NClMs-OMe,5141,0.0137,0.00706687,373.15
Fdppe,F4-NClMs-OMe,5443,0.0137,0.00691657,373.15
Fdppe,F4-NClMs-OMe,5745,0.0137,0.00671614,373.15
Fdppe,F4-NClMs-OMe,6048,0.0137,0.00654029,373.15
Fdppe,F4-NClMs-OMe,6350,0.0137,0.00637899,373.15
Fdppe,F4-NClMs-OMe,6652,0.0137,0.0062029,373.15
Fdppe,F4-NClMs-OMe,6955,0.0137,0.00609856,373.15
Fdppe,F4-NClMs-OMe,7257,0.0137,0.00594151,373.15
Fdppe,F4-NClMs-OMe,7560,0.0137,0.00582453,373.15
Fdppe,F4-NClMs-OMe,7862,0.0137,0.00560569,373.15
Fdppe,F4-NClMs-OMe,8165,0.0137,0.00551345,373.15
Fdppe,F4-NClMs-OMe,8467,0.0137,0.00537387,373.15
Fdppe,F4-NClMs-OMe,8769,0.0137,0.00524663,373.15
Fdppe,F4-NClMs-OMe,9072,0.0137,0.00514895,373.15
Fdppe,F4-NClMs-OMe,9374,0.0137,0.00504119,373.15
Fdppe,F4-NClMs-OMe,9676,0.0137,0.00489615,373.15
Fdppe,F4-NClMs-OMe,9979,0.0137,0.00481784,373.15
Fdppe,F4-NClMs-OMe,10281,0.0137,0.00470949,373.15
Fdppe,F4-NClMs-OMe,10584,0.0137,0.00461993,373.15
Fdppe,F4-NClMs-OMe,10886,0.0137,0.00448984,373.15
Fdppe,F4-NClMs-OMe,11188,0.0137,0.00444151,373.15
Fdppe,F4-NClMs-OMe,11491,0.0137,0.00433672,373.15
Fdppe,F4-NClMs-OMe,11793,0.0137,0.00425793,373.15
Fdppe,F4-NClMs-OMe,12095,0.0137,0.0041903,373.15
Fdppe,F4-NClMs-OMe,12398,0.0137,0.00411093,373.15
Fdppe,F4-NClMs-OMe,12699,0.0137,0.00409617,373.15
Fdppe,F4-NClMs-OMe,13002,0.0137,0.0039694,373.15
Fdppe,F4-NClMs-OMe,13304,0.0137,0.00389674,373.15
Fdppe,F4-NClMs-OMe,13606,0.0137,0.00383503,373.15
Fdppe,F4-NClMs-OMe,13909,0.0137,0.00372599,373.15
Fdppe,F4-NClMs-OMe,14211,0.0137,0.00371732,373.15
Fdppe,F4-NClMs-OMe,14515,0.0137,0.00362846,373.15
Fdppe,F4-NClMs-OMe,14817,0.0137,0.00362613,373.15
