Ligand,Backbone,time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K
PAd2Bu,F4-NClMs-OMe,0,0.0137,0.0165387,308.15
PAd2Bu,F4-NClMs-OMe,128,0.0137,0.0160676,308.15
PAd2Bu,F4-NClMs-OMe,431,0.0137,0.0153122,308.15
PAd2Bu,F4-NClMs-OMe,733,0.0137,0.0142605,308.15
PAd2Bu,F4-NClMs-OMe,1035,0.0137,0.0129462,308.15
PAd2Bu,F4-NClMs-OMe,1337,0.0137,0.0116449,308.15
PAd2Bu,F4-NClMs-OMe,1640,0.0137,0.0105794,308.15
PAd2Bu,F4-NClMs-OMe,1942,0.0137,0.00959493,308.15
PAd2Bu,F4-NClMs-OMe,2244,0.0137,0.00869024,308.15
PAd2Bu,F4-NClMs-OMe,2546,0.0137,0.0077443,308.15
PAd2Bu,F4-NClMs-OMe,2849,0.0137,0.00712161,308.15
PAd2Bu,F4-NClMs-OMe,3151,0.0137,0.00658116,308.15
PAd2Bu,F4-NClMs-OMe,3453,0.0137,0.00591044,308.15
PAd2Bu,F4-NClMs-OMe,3756,0.0137,0.00545943,308.15
PAd2Bu,F4-NClMs-OMe,4058,0.0137,0.0053445,308.15
PAd2Bu,F4-NClMs-OMe,4361,0.0137,0.00477624,308.15
PAd2Bu,F4-NClMs-OMe,4663,0.0137,0.00466821,308.15
PAd2Bu,F4-NClMs-OMe,4965,0.0137,0.00429938,308.15
PAd2Bu,F4-NClMs-OMe,5268,0.0137,0.00421472,308.15
PAd2Bu,F4-NClMs-OMe,5570,0.0137,0.00386035,308.15
PAd2Bu,F4-NClMs-OMe,5872,0.0137,0.00362392,308.15
PAd2Bu,F4-NClMs-OMe,6175,0.0137,0.00344014,308.15
