Ligand,Backbone,time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K
PtBu2Cy,F4-NClMs-OMe,0,0.0325,0.0260727,333.15
PtBu2Cy,F4-NClMs-OMe,301,0.0325,0.0254716,333.15
PtBu2Cy,F4-NClMs-OMe,604,0.0325,0.0251103,333.15
PtBu2Cy,F4-NClMs-OMe,907,0.0325,0.0247253,333.15
PtBu2Cy,F4-NClMs-OMe,1209,0.0325,0.0243043,333.15
PtBu2Cy,F4-NClMs-OMe,1512,0.0325,0.0238419,333.15
PtBu2Cy,F4-NClMs-OMe,1814,0.0325,0.0234303,333.15
PtBu2Cy,F4-NClMs-OMe,2117,0.0325,0.0230798,333.15
PtBu2Cy,F4-NClMs-OMe,2419,0.0325,0.0227792,333.15
PtBu2Cy,F4-NClMs-OMe,2722,0.0325,0.0223934,333.15
PtBu2Cy,F4-NClMs-OMe,3024,0.0325,0.0222537,333.15
PtBu2Cy,F4-NClMs-OMe,3327,0.0325,0.0218888,333.15
PtBu2Cy,F4-NClMs-OMe,3629,0.0325,0.0216491,333.15
PtBu2Cy,F4-NClMs-OMe,3931,0.0325,0.0213792,333.15
PtBu2Cy,F4-NClMs-OMe,4234,0.0325,0.0211092,333.15
PtBu2Cy,F4-NClMs-OMe,4536,0.0325,0.0209075,333.15
PtBu2Cy,F4-NClMs-OMe,4839,0.0325,0.0205702,333.15
PtBu2Cy,F4-NClMs-OMe,5142,0.0325,0.0202923,333.15
PtBu2Cy,F4-NClMs-OMe,5444,0.0325,0.0200628,333.15
PtBu2Cy,F4-NClMs-OMe,5746,0.0325,0.0197547,333.15
PtBu2Cy,F4-NClMs-OMe,6049,0.0325,0.0194976,333.15
PtBu2Cy,F4-NClMs-OMe,6351,0.0325,0.0192463,333.15
PtBu2Cy,F4-NClMs-OMe,6654,0.0325,0.0190164,333.15
PtBu2Cy,F4-NClMs-OMe,6956,0.0325,0.0187554,333.15
PtBu2Cy,F4-NClMs-OMe,7258,0.0325,0.0184893,333.15
PtBu2Cy,F4-NClMs-OMe,7561,0.0325,0.0182861,333.15
PtBu2Cy,F4-NClMs-OMe,7863,0.0325,0.0179971,333.15
PtBu2Cy,F4-NClMs-OMe,8166,0.0325,0.0177547,333.15
PtBu2Cy,F4-NClMs-OMe,8468,0.0325,0.0174798,333.15
PtBu2Cy,F4-NClMs-OMe,8771,0.0325,0.0173006,333.15
PtBu2Cy,F4-NClMs-OMe,9073,0.0325,0.0170346,333.15
PtBu2Cy,F4-NClMs-OMe,9376,0.0325,0.0168165,333.15
PtBu2Cy,F4-NClMs-OMe,9678,0.0325,0.0166131,333.15
PtBu2Cy,F4-NClMs-OMe,9981,0.0325,0.0164083,333.15
PtBu2Cy,F4-NClMs-OMe,10283,0.0325,0.0162138,333.15
PtBu2Cy,F4-NClMs-OMe,10585,0.0325,0.0159594,333.15
PtBu2Cy,F4-NClMs-OMe,10888,0.0325,0.0158252,333.15
PtBu2Cy,F4-NClMs-OMe,11190,0.0325,0.015538,333.15
PtBu2Cy,F4-NClMs-OMe,11493,0.0325,0.0153716,333.15
PtBu2Cy,F4-NClMs-OMe,11795,0.0325,0.0152469,333.15
PtBu2Cy,F4-NClMs-OMe,12097,0.0325,0.0150548,333.15
PtBu2Cy,F4-NClMs-OMe,12400,0.0325,0.0148586,333.15
PtBu2Cy,F4-NClMs-OMe,12702,0.0325,0.0146086,333.15
PtBu2Cy,F4-NClMs-OMe,13004,0.0325,0.014488,333.15
PtBu2Cy,F4-NClMs-OMe,13307,0.0325,0.0142804,333.15
PtBu2Cy,F4-NClMs-OMe,13609,0.0325,0.0141302,333.15
PtBu2Cy,F4-NClMs-OMe,13912,0.0325,0.0139643,333.15
PtBu2Cy,F4-NClMs-OMe,14214,0.0325,0.0137888,333.15
PtBu2Cy,F4-NClMs-OMe,14516,0.0325,0.0135752,333.15
PtBu2Cy,F4-NClMs-OMe,14819,0.0325,0.0132627,333.15
PtBu2Cy,F4-NClMs-OMe,15121,0.0325,0.0132477,333.15
PtBu2Cy,F4-NClMs-OMe,15424,0.0325,0.0131113,333.15
PtBu2Cy,F4-NClMs-OMe,15726,0.0325,0.0130135,333.15
PtBu2Cy,F4-NClMs-OMe,16028,0.0325,0.0129071,333.15
PtBu2Cy,F4-NClMs-OMe,16331,0.0325,0.0126935,333.15
PtBu2Cy,F4-NClMs-OMe,16633,0.0325,0.0125717,333.15
PtBu2Cy,F4-NClMs-OMe,16935,0.0325,0.0124041,333.15
PtBu2Cy,F4-NClMs-OMe,17238,0.0325,0.012283,333.15
PtBu2Cy,F4-NClMs-OMe,17540,0.0325,0.012134,333.15
PtBu2Cy,F4-NClMs-OMe,17843,0.0325,0.0119511,333.15
PtBu2Cy,F4-NClMs-OMe,18145,0.0325,0.0118831,333.15
PtBu2Cy,F4-NClMs-OMe,18447,0.0325,0.0113988,333.15
PtBu2Cy,F4-NClMs-OMe,18750,0.0325,0.0115995,333.15
