Ligand,Backbone,time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K
PtBu2Np,F4-NClMs-OMe,0,0.0137,0.00593655,308.15
PtBu2Np,F4-NClMs-OMe,70,0.0137,0.00588176,308.15
PtBu2Np,F4-NClMs-OMe,372,0.0137,0.00563035,308.15
PtBu2Np,F4-NClMs-OMe,674,0.0137,0.00535073,308.15
PtBu2Np,F4-NClMs-OMe,976,0.0137,0.00524868,308.15
PtBu2Np,F4-NClMs-OMe,1279,0.0137,0.00499356,308.15
PtBu2Np,F4-NClMs-OMe,1581,0.0137,0.00477848,308.15
PtBu2Np,F4-NClMs-OMe,1883,0.0137,0.0046397,308.15
PtBu2Np,F4-NClMs-OMe,2186,0.0137,0.00451508,308.15
PtBu2Np,F4-NClMs-OMe,2488,0.0137,0.0042772,308.15
PtBu2Np,F4-NClMs-OMe,2790,0.0137,0.00417937,308.15
PtBu2Np,F4-NClMs-OMe,3092,0.0137,0.00402032,308.15
PtBu2Np,F4-NClMs-OMe,3395,0.0137,0.00392227,308.15
PtBu2Np,F4-NClMs-OMe,3697,0.0137,0.00370666,308.15
PtBu2Np,F4-NClMs-OMe,4000,0.0137,0.00343333,308.15
PtBu2Np,F4-NClMs-OMe,4302,0.0137,0.00331854,308.15
PtBu2Np,F4-NClMs-OMe,4604,0.0137,0.00306693,308.15
PtBu2Np,F4-NClMs-OMe,4906,0.0137,0.00315472,308.15
PtBu2Np,F4-NClMs-OMe,5209,0.0137,0.00282214,308.15
PtBu2Np,F4-NClMs-OMe,5511,0.0137,0.00269222,308.15
PtBu2Np,F4-NClMs-OMe,5813,0.0137,0.00278419,308.15
PtBu2Np,F4-NClMs-OMe,6116,0.0137,0.00272496,308.15
PtBu2Np,F4-NClMs-OMe,6418,0.0137,0.0024072,308.15
PtBu2Np,F4-NClMs-OMe,6720,0.0137,0.00247421,308.15
PtBu2Np,F4-NClMs-OMe,7023,0.0137,0.00213535,308.15
PtBu2Np,F4-NClMs-OMe,7325,0.0137,0.00212233,308.15
PtBu2Np,F4-NClMs-OMe,7628,0.0137,0.00213547,308.15
PtBu2Np,F4-NClMs-OMe,7930,0.0137,0.00203897,308.15
PtBu2Np,F4-NClMs-OMe,8232,0.0137,0.00189787,308.15
PtBu2Np,F4-NClMs-OMe,8534,0.0137,0.00188964,308.15
PtBu2Np,F4-NClMs-OMe,8837,0.0137,0.00174926,308.15
PtBu2Np,F4-NClMs-OMe,9139,0.0137,0.00170976,308.15
PtBu2Np,F4-NClMs-OMe,9441,0.0137,0.00161518,308.15
PtBu2Np,F4-NClMs-OMe,9744,0.0137,0.00159692,308.15
PtBu2Np,F4-NClMs-OMe,10046,0.0137,0.0015218,308.15
PtBu2Np,F4-NClMs-OMe,10348,0.0137,0.00138601,308.15
PtBu2Np,F4-NClMs-OMe,10651,0.0137,0.00132118,308.15
PtBu2Np,F4-NClMs-OMe,10953,0.0137,0.00130375,308.15
PtBu2Np,F4-NClMs-OMe,11255,0.0137,0.00121317,308.15
PtBu2Np,F4-NClMs-OMe,11558,0.0137,0.00110239,308.15
PtBu2Np,F4-NClMs-OMe,11860,0.0137,0.00108941,308.15
PtBu2Np,F4-NClMs-OMe,12162,0.0137,0.0011124,308.15
PtBu2Np,F4-NClMs-OMe,12465,0.0137,0.00103133,308.15
PtBu2Np,F4-NClMs-OMe,12767,0.0137,0.00107255,308.15
PtBu2Np,F4-NClMs-OMe,13069,0.0137,0.000965563,308.15
PtBu2Np,F4-NClMs-OMe,13372,0.0137,0.000968798,308.15
PtBu2Np,F4-NClMs-OMe,13674,0.0137,0.000921604,308.15
PtBu2Np,F4-NClMs-OMe,13977,0.0137,0.000896445,308.15
PtBu2Np,F4-NClMs-OMe,14279,0.0137,0.000833648,308.15
PtBu2Np,F4-NClMs-OMe,14581,0.0137,0.000744755,308.15
PtBu2Np,F4-NClMs-OMe,14883,0.0137,0.000704893,308.15
PtBu2Np,F4-NClMs-OMe,15186,0.0137,0.000689201,308.15
PtBu2Np,F4-NClMs-OMe,15488,0.0137,0.000699528,308.15
PtBu2Np,F4-NClMs-OMe,15790,0.0137,0.000669547,308.15
PtBu2Np,F4-NClMs-OMe,16093,0.0137,0.000670256,308.15
PtBu2Np,F4-NClMs-OMe,16395,0.0137,0.000541636,308.15
PtBu2Np,F4-NClMs-OMe,16697,0.0137,0.000538854,308.15
PtBu2Np,F4-NClMs-OMe,17000,0.0137,0.00051414,308.15
PtBu2Np,F4-NClMs-OMe,17302,0.0137,0.000498062,308.15
PtBu2Np,F4-NClMs-OMe,17604,0.0137,0.000418638,308.15
PtBu2Np,F4-NClMs-OMe,17907,0.0137,0.000490941,308.15
PtBu2Np,F4-NClMs-OMe,18209,0.0137,0.000373963,308.15
PtBu2Np,F4-NClMs-OMe,18511,0.0137,0.000318892,308.15
PtBu2Np,F4-NClMs-OMe,18814,0.0137,0.000288843,308.15
PtBu2Np,F4-NClMs-OMe,19116,0.0137,0.000407602,308.15
PtBu2Np,F4-NClMs-OMe,19418,0.0137,0.000311259,308.15
PtBu2Np,F4-NClMs-OMe,19720,0.0137,0.000292481,308.15
PtBu2Np,F4-NClMs-OMe,20022,0.0137,0.000297012,308.15
PtBu2Np,F4-NClMs-OMe,20325,0.0137,0.000227163,308.15
PtBu2Np,F4-NClMs-OMe,20627,0.0137,0.000235886,308.15
PtBu2Np,F4-NClMs-OMe,20929,0.0137,0.00024996,308.15
PtBu2Np,F4-NClMs-OMe,21232,0.0137,0.000307048,308.15
PtBu2Np,F4-NClMs-OMe,21534,0.0137,0.000195957,308.15
PtBu2Np,F4-NClMs-OMe,21836,0.0137,0.00019509,308.15
PtBu2Np,F4-NClMs-OMe,22139,0.0137,0.00017874,308.15
PtBu2Np,F4-NClMs-OMe,22441,0.0137,0.000130959,308.15
PtBu2Np,F4-NClMs-OMe,22743,0.0137,0.00016251,308.15
PtBu2Np,F4-NClMs-OMe,23046,0.0137,0.00015115,308.15
PtBu2Np,F4-NClMs-OMe,23348,0.0137,0.000101183,308.15
PtBu2Np,F4-NClMs-OMe,23650,0.0137,2.86E-05,308.15
PtBu2Np,F4-NClMs-OMe,23953,0.0137,6.47E-05,308.15
