Ligand,Backbone,time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K
PtBu3,F4-NClMs-OMe,688,0.0137,0.0193963,313.15
PtBu3,F4-NClMs-OMe,990,0.0137,0.017645,313.15
PtBu3,F4-NClMs-OMe,1292,0.0137,0.0158631,313.15
PtBu3,F4-NClMs-OMe,1595,0.0137,0.0139634,313.15
PtBu3,F4-NClMs-OMe,1897,0.0137,0.0123294,313.15
PtBu3,F4-NClMs-OMe,2199,0.0137,0.0101674,313.15
PtBu3,F4-NClMs-OMe,2501,0.0137,0.00907954,313.15
PtBu3,F4-NClMs-OMe,2803,0.0137,0.00741651,313.15
PtBu3,F4-NClMs-OMe,3106,0.0137,0.0067457,313.15
PtBu3,F4-NClMs-OMe,3408,0.0137,0.00529643,313.15
PtBu3,F4-NClMs-OMe,3710,0.0137,0.00447965,313.15
PtBu3,F4-NClMs-OMe,4012,0.0137,0.00408559,313.15
PtBu3,F4-NClMs-OMe,4314,0.0137,0.00316642,313.15
PtBu3,F4-NClMs-OMe,4617,0.0137,0.00271687,313.15
PtBu3,F4-NClMs-OMe,4919,0.0137,0.00238935,313.15
