Ligand,Backbone,time / s,c(TMS) / M ,c(Pd-Complex) / M,Temperature_K
dppe,CF3-NMs-Ph,0,0.0137,0.0299247,373.15
dppe,CF3-NMs-Ph,302,0.0137,0.0298334,373.15
dppe,CF3-NMs-Ph,605,0.0137,0.0294398,373.15
dppe,CF3-NMs-Ph,908,0.0137,0.0292717,373.15
dppe,CF3-NMs-Ph,1210,0.0137,0.0292023,373.15
dppe,CF3-NMs-Ph,1513,0.0137,0.0290435,373.15
dppe,CF3-NMs-Ph,1816,0.0137,0.0287524,373.15
dppe,CF3-NMs-Ph,2118,0.0137,0.028513,373.15
dppe,CF3-NMs-Ph,2421,0.0137,0.0284249,373.15
dppe,CF3-NMs-Ph,2724,0.0137,0.0280278,373.15
dppe,CF3-NMs-Ph,3026,0.0137,0.0278612,373.15
dppe,CF3-NMs-Ph,3329,0.0137,0.0276399,373.15
dppe,CF3-NMs-Ph,3632,0.0137,0.027431,373.15
dppe,CF3-NMs-Ph,3934,0.0137,0.0272831,373.15
dppe,CF3-NMs-Ph,4237,0.0137,0.0271287,373.15
dppe,CF3-NMs-Ph,4539,0.0137,0.0268425,373.15
dppe,CF3-NMs-Ph,4842,0.0137,0.0266005,373.15
dppe,CF3-NMs-Ph,5144,0.0137,0.0264266,373.15
dppe,CF3-NMs-Ph,5447,0.0137,0.0262351,373.15
dppe,CF3-NMs-Ph,5750,0.0137,0.025971,373.15
dppe,CF3-NMs-Ph,6053,0.0137,0.0258121,373.15
dppe,CF3-NMs-Ph,6355,0.0137,0.02561,373.15
dppe,CF3-NMs-Ph,6658,0.0137,0.0254599,373.15
dppe,CF3-NMs-Ph,6960,0.0137,0.0252156,373.15
dppe,CF3-NMs-Ph,7263,0.0137,0.02486,373.15
dppe,CF3-NMs-Ph,7566,0.0137,0.0248207,373.15
dppe,CF3-NMs-Ph,7869,0.0137,0.024615,373.15
dppe,CF3-NMs-Ph,8171,0.0137,0.0243283,373.15
dppe,CF3-NMs-Ph,8474,0.0137,0.0241237,373.15
dppe,CF3-NMs-Ph,8777,0.0137,0.0240127,373.15
dppe,CF3-NMs-Ph,9079,0.0137,0.0239087,373.15
dppe,CF3-NMs-Ph,9382,0.0137,0.0235582,373.15
dppe,CF3-NMs-Ph,9685,0.0137,0.0233642,373.15
dppe,CF3-NMs-Ph,9987,0.0137,0.0230997,373.15
dppe,CF3-NMs-Ph,10290,0.0137,0.0229898,373.15
dppe,CF3-NMs-Ph,10593,0.0137,0.0227149,373.15
dppe,CF3-NMs-Ph,10895,0.0137,0.0225945,373.15
dppe,CF3-NMs-Ph,11198,0.0137,0.0223426,373.15
dppe,CF3-NMs-Ph,11501,0.0137,0.0221979,373.15
dppe,CF3-NMs-Ph,11803,0.0137,0.0220217,373.15
dppe,CF3-NMs-Ph,12106,0.0137,0.0217453,373.15
dppe,CF3-NMs-Ph,12409,0.0137,0.0216598,373.15
dppe,CF3-NMs-Ph,12711,0.0137,0.021422,373.15
dppe,CF3-NMs-Ph,13014,0.0137,0.0213235,373.15
dppe,CF3-NMs-Ph,13317,0.0137,0.021142,373.15
dppe,CF3-NMs-Ph,13619,0.0137,0.0209059,373.15
dppe,CF3-NMs-Ph,13922,0.0137,0.0207183,373.15
dppe,CF3-NMs-Ph,14224,0.0137,0.0202892,373.15
dppe,CF3-NMs-Ph,14668,0.0137,0.0203901,373.15
dppe,CF3-NMs-Ph,14971,0.0137,0.0199585,373.15
dppe,CF3-NMs-Ph,15273,0.0137,0.0197798,373.15
dppe,CF3-NMs-Ph,15576,0.0137,0.0195468,373.15
dppe,CF3-NMs-Ph,15879,0.0137,0.0195144,373.15
dppe,CF3-NMs-Ph,16181,0.0137,0.0195086,373.15
dppe,CF3-NMs-Ph,16484,0.0137,0.0191462,373.15
dppe,CF3-NMs-Ph,16787,0.0137,0.0190965,373.15
dppe,CF3-NMs-Ph,17089,0.0137,0.0188161,373.15
dppe,CF3-NMs-Ph,17392,0.0137,0.018553,373.15
dppe,CF3-NMs-Ph,17695,0.0137,0.0184064,373.15
dppe,CF3-NMs-Ph,17997,0.0137,0.0184343,373.15
dppe,CF3-NMs-Ph,18300,0.0137,0.0181794,373.15
dppe,CF3-NMs-Ph,18603,0.0137,0.0181627,373.15
dppe,CF3-NMs-Ph,18905,0.0137,0.0177285,373.15
dppe,CF3-NMs-Ph,19208,0.0137,0.0177115,373.15
dppe,CF3-NMs-Ph,19511,0.0137,0.0174806,373.15
dppe,CF3-NMs-Ph,19813,0.0137,0.0173151,373.15
dppe,CF3-NMs-Ph,20116,0.0137,0.0171893,373.15
dppe,CF3-NMs-Ph,20419,0.0137,0.0170666,373.15
dppe,CF3-NMs-Ph,20721,0.0137,0.01682,373.15
dppe,CF3-NMs-Ph,21024,0.0137,0.0168339,373.15
dppe,CF3-NMs-Ph,21327,0.0137,0.0165264,373.15
dppe,CF3-NMs-Ph,21630,0.0137,0.0164184,373.15
dppe,CF3-NMs-Ph,21932,0.0137,0.016297,373.15
dppe,CF3-NMs-Ph,22235,0.0137,0.0160923,373.15
