Backbone,Internal_standard_mass_mg,Internal_standard_integral,Pd_II_integral,Pd_0_integral,Time_min,Temperature_C,N_H_stretch_IR,sigma_para,sigma_i_n,sigma_i_ar
CF3-NH-Ph,8,1,0.606,0,0,25,3406,0,0,0.16
CF3-NH-Ph,8,1,0.00001,0.91,6,25,3406,0,0,0.16
CF3-NH-Ph,8,1,0,0.916,13,25,3406,0,0,0.16
CF3-NMs-Ph,3.9,1,1.64,0,0,25,3279,0,0.53,0.16
CF3-NMs-Ph,3.9,1,0.00001,1.325,7,25,3279,0,0.53,0.16
CF3-NMs-Ph,3.9,1,0,0.926,13,25,3279,0,0.53,0.16
CF3-NMs-Ph,3.9,1,0,0.757,20,25,3279,0,0.53,0.16
CF3-NMs-OMe,11.8,1,0.505,0,0,25,3275,-0.27,0.53,0.16
CF3-NMs-OMe,11.8,1,0.007,2.107,7,25,3275,-0.27,0.53,0.16
CF3-NMs-OMe,11.8,1,0,0.5,15,25,3275,-0.27,0.53,0.16
CF3-NMs-NMe2,7.5,1,0.769,0,0,25,3327,-0.83,0.53,0.16
CF3-NMs-NMe2,7.5,1,0.21,1.169,8,25,3327,-0.83,0.53,0.16
CF3-NMs-NMe2,7.5,1,0,0.197,18,25,3327,-0.83,0.53,0.16
F4-NMs-Ph,13,1,0.996,0.117,9,25,3248,0,0.53,0.24
F4-NMs-Ph,13,1,0.872,0.131,31,25,3248,0,0.53,0.24
F4-NMs-Ph,13,1,0.766,0.116,57,25,3248,0,0.53,0.24
F4-NMs-Ph,13,1,0.445,0.083,157,25,3248,0,0.53,0.24
F4-NMs-Ph,13,1,0.267,0.051,300,25,3248,0,0.53,0.24
F4-NMs-OMe,6.1,1,1.401,0,7,25,3241,-0.27,0.53,0.24
F4-NMs-OMe,6.1,1,1.373,0.091,15,25,3241,-0.27,0.53,0.24
F4-NMs-OMe,6.1,1,1.279,0.199,27,25,3241,-0.27,0.53,0.24
F4-NMs-OMe,6.1,1,1.07,0.335,123,25,3241,-0.27,0.53,0.24
F4-NMs-OMe,6.1,1,1.035,0.432,174,25,3241,-0.27,0.53,0.24
F4-NMs-NMe2,5.9,1,0.882,0.105,19,25,3250,-0.83,0.53,0.24
F4-NMs-NMe2,5.9,1,0.761,0.194,63,25,3250,-0.83,0.53,0.24
F4-NMs-NMe2,5.9,1,0.582,0.116,132,25,3250,-0.83,0.53,0.24
F4-NMs-NMe2,5.9,1,0.431,0.073,233,25,3250,-0.83,0.53,0.24
F4-NClMs-OMe,7.2,1,0.628,0,0,35,3232,-0.27,0.59,0.24
F4-NClMs-OMe,7.2,1,0.552,0,15,35,3232,-0.27,0.59,0.24
F4-NClMs-OMe,7.2,1,0.417,0,45,35,3232,-0.27,0.59,0.24
F4-NClMs-OMe,7.2,1,0.274,0,75,35,3232,-0.27,0.59,0.24
F4-NClMs-OMe,7.2,1,0.194,0,105,35,3232,-0.27,0.59,0.24
F4-NTf-OMe,3.3,1,1.111,0,0,80,3246,-0.27,0.74,0.24
F4-NTf-OMe,3.3,1,1.083,0,10,80,3246,-0.27,0.74,0.24
F4-NTf-OMe,3.3,1,0.989,0,40,80,3246,-0.27,0.74,0.24
F4-NTf-OMe,3.3,1,0.907,0,100,80,3246,-0.27,0.74,0.24
F4-NTf-OMe,3.3,1,0.74,0,225,80,3246,-0.27,0.74,0.24
