Structure;Conformer;Relative Energy (kcal/mol);Boltzmann Distribution;Buried Volume
bisbi;6;0.0;0.33754355279095605;Error
bisbi;5;0.01004004854536197;0.33186776898442166;58.7
bisbi;4;0.014432569320255426;0.3294147198870657;58.7
bisbi;2;4.169757435244539;0.0002948905086015302;56.1
bisbi;7;4.171012441098692;0.0002942660786694212;56.1
bisbi;3;4.1741499560194315;0.00029271078232634136;56.1
bisbi;1;4.175404961873586;0.00029209096795929887;56.1
cata;5;0.0;0.3841870870640661;40.7
cata;6;0.46874474131464877;0.17406097628113;40.7
cata;8;0.6651531800327817;0.12491904869433049;Error
cata;3;0.7009208511564935;0.1175957911138573;41.8
cata;4;0.8496390619950326;0.091474817405761;41.9
cata;7;1.1219753643061932;0.05774746837712622;Error
cata;1;1.3742315703826957;0.0377132387467806;40.4
cata;2;2.0375022413488915;0.012301572316948211;40.5
darfpe;1;0.0;0.31887179493397305;56.7
darfpe;9;0.5183174776901178;0.13286523172611112;56.8
darfpe;2;0.5271025198106154;0.13090830534066522;56.8
darfpe;3;0.5653802026426348;0.12271259087120162;56.1
darfpe;10;0.7473560726112228;0.09024085342635473;54.7
darfpe;13;0.8069688578174091;0.08159716006036348;54.8
darfpe;5;0.8910542597477916;0.07079381837540387;56.0
darfpe;4;1.4043517134505838;0.029749039662882486;55.0
darfpe;6;1.6829630456032239;0.018582382104438952;55.0
darfpe;11;2.9950718187860703;0.002025917651358174;54.0
darfpe;7;3.724230305085287;0.0005912313691228952;56.0
darfpe;16;3.9570339175688534;0.00039901345025514115;54.9
darfpe;15;4.136499775829134;0.00029467465842361324;54.2
darfpe;17;4.261372872870554;0.00023864031949243422;55.3
darfpe;18;4.730117613329137;0.00010811911292590578;55.3
darfpe;12;5.693962221749216;2.1226937027419262e-05;54.7
dcype;2;0.0;0.3631847366878813;54.6
dcype;7;0.7693186779124668;0.0990385571303755;Error
dcype;14;0.8496390619950326;0.08647416477988826;55.2
dcype;1;0.9042318232138933;0.07885706271405793;55.3
dcype;3;1.0862076931824813;0.05799020774878113;54.4
dcype;4;1.1489579933094074;0.05215849274851832;55.4
dcype;13;1.1966482211890013;0.04812187192507351;55.4
dcype;28;1.1979032273285102;0.048019973955597664;55.4
dcype;23;1.2995587132145325;0.040443982798107174;55.2
dcype;6;1.5041246908407306;0.028628415920655643;55.3
dcype;8;1.593857619970871;0.024602256652799987;54.4
dcype;9;1.7331632857618358;0.019444158952359673;55.5
dcype;5;1.947141809006319;0.01354653173115557;54.5
dcype;11;2.2320281710004384;0.008372469824757802;55.7
dcype;10;2.2853659260797903;0.0076511797325294565;54.5
dcype;19;2.545779671064358;0.004928394142361418;52.7
dcype;17;2.611039982899592;0.004414023245355846;55.7
dcype;24;2.8112134397508965;0.0031477489744635104;54.4
dcype;21;2.9599316511601463;0.00244855500076424;55.3
dcype;29;3.2197178932176374;0.0015788729664455727;52.7
dcype;33;3.220972899071791;0.0015755297067932962;52.7
dcype;15;3.278703174926036;0.0014291550072433666;Error
dcype;41;3.711680244831618;0.0006878201222516806;56.2
dcype;12;3.815218239784226;0.0005774654227556807;54.8
dcype;22;3.8754585279174893;0.0005215999467151535;54.7
dcype;48;4.1628549021906265;0.0003210124123266159;53.1
dcype;18;4.27266792727007;0.0002666674265453255;54.9
dcype;27;4.32098565807674;0.0002457690289693842;55.1
dcype;26;4.326633185276498;0.00024343582245940388;55.3
dcype;20;4.499196510197512;0.0001818875611127076;Error
dcype;34;4.543121719943934;0.00016888156998496703;55.6
dcype;49;4.573241864153243;0.00016050480352759806;53.2
dcype;16;4.736392643741327;0.00012184592025874221;53.7
dcype;25;5.030691551068376;7.411942128392112e-05;Error
dcype;42;5.159329665957612;5.964461985536844e-05;55.6
dcype;35;5.167487205151033;5.8828452284378135e-05;55.4
