ID,SPVIP_Charge_Block1
6,-0.030349
10,-0.026511
27,0.066739
23,0.03284
32,-0.143876
3,0.163509
13,0.015517
2,0.239533
8,-0.040124
21,0.005732
12,0.031359
24,-0.184059
17,0.126625
25,-0.159344
30,-0.158126
18,0.001829
1,0.099158
4,0.163415
5,0.160124
7,0.02556
9,-0.045159
11,-0.012134
14,0.048968
16,0.006723
19,0.002667
20,-0.046025
22,0.041982
52,0.152889
53,0.046343
54,0.136761
55,0.000155
56,0.018472
57,0.084743
26,-0.187482
28,-0.207901
29,-0.197642
31,-0.200628
58,0.122614
65,0.119503
66,-0.293719
67,-0.292438
68,-0.277809
69,-0.298389
70,-0.301814
71,-0.296776
73,-0.297341
74,-0.309758
76,-0.286489
85,-0.255523
75,-0.407285
77,-0.304396
78,-0.304969
79,-0.324162
80,-0.355696
81,-0.074214
82,-0.081058
83,-0.137181
84,-0.124385
86,-0.095325
87,-0.103999
88,-0.090596
94,-0.256629
128,-0.2301
95,-0.284657
96,-0.171879
